"BGC","B2","C4","D6"
"MGPdm","MGPdm/00","MGPdm/00","MGPdm/00"
"MGPmg","MGPmg/00","MGPmg/00","MGPmg/00"
"MGPmw_MT","MGPmw_MT/Gg","MGPmw_MT/Gg","MGPmw_MT/111"
"MHdm_OR","MHdm_OR/103","MHdm_OR/101","MHdm_OR/113"
"MHds_OR","MHds_OR/103","MHds_OR/101","MHds_OR/113"
"MHmm_WA","MHmm_WA/102","MHmm_WA/101","MHmm_WA/113"
"MHmm1","MHmm1/01","MHmm1/01","MHmm1/07"
"MHmm2","MHmm2/01","MHmm2/01","MHmm2/07"
"MHmmp","MHmmp/d","MHmmp/m","MHmmp/h"
"MHmmp_WA","MHmmp_WA/00","MHmmp_WA/00","MHmmp_WA/00"
"MHms_WA","MHms_WA/103","MHms_WA/101","MHms_WA/113"
"MHmsp_WA","MHmsp_WA/00","MHmsp_WA/00","MHmsp_WA/00"
"MHRFdm_OR","MHRFdm_OR/102","MHRFdm_OR/101","MHRFdm_OR/110"
"MHRFds_CA","MHRFds_CA/102","MHRFds_CA/101","MHRFds_CA/110"
"MHRFdsp_CA","MHRFdsp_CA/00","MHRFdsp_CA/00","MHRFdsp_CA/00"
"MHRFmm_OR","MHRFmm_OR/102","MHRFmm_OR/101","MHRFmm_OR/110"
"MHRFmmp_OR","MHRFmmp_OR/00","MHRFmmp_OR/00","MHRFmmp_OR/00"
"MHun","MHun/d","MHun/m","MHun/h"
"MHunp","MHunp/00","MHunp/00","MHunp/00"
"MHwh","MHwh/101","MHwh/101","MHwh/111"
"MHwh1","MHwh1/01","MHwh1/01","MHwh1/07"
"MHwhp","MHwhp/00","MHwhp/00","MHwhp/00"
"MSab","MSab/a","MSab/c","MSab/f"
"MSdc1","MSdc1/03","MSdc1/01","MSdc1/04"
"MSdc2","MSdc2/03","MSdc2/01","MSdc2/08"
"MSdc3","MSdc3/03","MSdc3/01","MSdc3/04"
"MSdh_UT","MSdh_UT/103","MSdh_UT/101","MSdh_UT/111"
"MSdh_WY","MSdh_WY/103","MSdh_WY/101","MSdh_WY/113"
"MSdk","MSdk/102","MSdk/101","MSdk/111"
"MSdk_CO","MSdk_CO/103","MSdk_CO/101","MSdk_CO/113"
"MSdm_WA","MSdm_WA/103","MSdm_WA/101","MSdm_WA/113"
