Retire,SS_class,Source,Zone,SubzoneGroup,Subzone,BGC_Label,BGC,ZoneName,SubzoneName,General Location,OldSubzoneLabel,DataSet,State,Notes
,,BGCv11,MH,MH_submaritme,MHmm,MH  mm 2,MHmm2,Mountain Hemlock,Moist Maritime Leeward MH  ,Moist Maritime,,BC,BC,
,,USA_2019,MH,MH_maritime,MHmm,MH  mm_WA,MHmm_WA,Mountain Hemlock,Moist Maritime Washington MH,NW Washington,MH  mmz,USA,WA,
,no,BGCv11,MH,MH_maritime,MHmmp,MH  mmp,MHmmp,Mountain Hemlock,Moist Maritime Parkland   MH  ,Moist Maritime Parkland,,BC,BC,
,,USA_2019,MH,MH_maritime,MHmmp,MH  mmp_WA,MHmmp_WA,Mountain Hemlock,Moist Maritime Washington Parkland MH,NW Washington,MH  mmzp,USA,WA,
,,USA_2019,MH,MH_submaritme,MHms,MH  ms_WA,MHms_WA,Mountain Hemlock,Moist Submaritime Washington MH,NW Washington,MH  msz,USA,WA,
,,USA_2019,MH,MH_submaritme,MHmsp,MH  msp_WA,MHmsp_WA,Mountain Hemlock,Moist Submaritime Washington Parkland MH,NW Washington,MH  mszp,USA,WA,
,no,BGCv11,MH,MH_submaritme,MHun,MH  un,MHun,Mountain Hemlock,Undifferentiated   MH  ,Undifferentiated,,BC,BC,
,,BGCv11,MH,MH_submaritme,MHunp,MH  unp,MHunp,Mountain Hemlock,Undifferentiated parkland  MH  ,Undifferentiated parkland,,BC,BC,
,,BGCv11,MH,MH_maritime,MHwh,MH  wh,MHwh,Mountain Hemlock,Wet Hypermaritime   MH  ,Wet Hypermaritime,,BC,BC,
,,BGCv11,MH,MH_maritime,MHwh,MH  wh 1,MHwh1,Mountain Hemlock,Wet Hypermaritime Windward MH  ,Wet Hypermaritime,,BC,BC,
,,BGCv11,MH,MH_maritime,MHwhp,MH  whp,MHwhp,Mountain Hemlock,Wet Hypermaritime Parkland   MH  ,Wet Hypermaritime Parkland,,BC,BC,
,,USA_2019,MH,MH_maritime,MHdmp,MHdmp_OR,MHdmp_OR,Mountain Hemlock,Dry Maritime Oregon Parkland MH,W Oregon,,USA,OR,
,,USA_2019,MHRF,MHRF,MHRFdm,MHRFdm_OR,MHRFdm_OR,Mountain Hemlock - Shasta Red Fir,Dry Maritime Oregon MHRF,"SW Oregon, California",MHRFmmz,USA,OR,
,,USA_2019,MHRF,MHRF,MHRFdmp,MHRFdmp_OR,MHRFdmp_OR,Mountain Hemlock - Shasta Red Fir,Dry Maritime Oregon Parkland MHRF,"SW Oregon, California",,USA,OR,
,,USA_2019,MHRF,MHRF,MHRFds,MHRFds_CA,MHRFds_CA,Mountain Hemlock - Shasta Red Fir,Dry Submaritime California MHRF,"SW Oregon, California",MHRFmsz,USA,CA,
,,USA_2019,MHRF,MHRF,MHRFdsp,MHRFdsp_CA,MHRFdsp_CA,Mountain Hemlock - Shasta Red Fir,Dry Submaritime California Parkland MHRF,"SW Oregon, California",MHRFmszp,USA,CA,
,,USA_2019,MHRF,MHRF,MHRFmm,MHRFmm_OR,MHRFmm_OR,Mountain Hemlock - Shasta Red Fir,Moist Maritime Oregon MHRF,Oregon,MHRFwmz,USA,OR,
,,USA_2019,MHRF,MHRF,MHRFmmp,MHRFmmp_OR,MHRFmmp_OR,Mountain Hemlock - Shasta Red Fir,Moist Maritime Oregon Parkland MHRF,Oregon,MHRFwmzp,USA,OR,
,,USA_2021,MMM,MMM,MMMdk,MMM dk_NV,MMMdk_NV,Montane Mountain Mahogony,Dry Cool Nevada MMM,C Nevada,,USA,NV,
x,,AB_2018,MS,MS_meso,MSab,MS  ab,MSab,Montane Spruce,Alberta MS,SW Alberta,MSFPab,AB,AB,
,,AB_2020,MS,MS_meso,MSab,MS  ab N,MSabN,Montane Spruce,Alberta MS North,SW Alberta,MSFPab,AB,AB,
,,AB_2020,MS,MS_meso,MSab,MS  ab S,MSabS,Montane Spruce,Alberta MS South,SW Alberta,MSFPab,AB,AB,
,,BGCv11,MS,MS_meso,MSdc,MS  dc 1,MSdc1,Montane Spruce,Dry Cold Cayoosh MS  ,Dry Cold,,BC,BC,
,,BGCv11,MS,MS_meso,MSdc,MS  dc 2,MSdc2,Montane Spruce,Dry Cold Tatlayoko MS  ,Dry Cold,,BC,BC,
,,BGCv11,MS,MS_meso,MSdc,MS  dc 3,MSdc3,Montane Spruce,Dry Cold Tyaughton MS  ,Dry Cold,,BC,BC,
,,USA_2019,MS,MS_meso,MSdh,MS  dh_MT,MSdh_MT,Montane Spruce ,Dry Hot Montana MS,W Montana,,USA,MT,
,,USA_2019,MS,MS_meso,MSdh,MS  dh_UT,MSdh_UT,Montane Spruce ,Dry Hot Utah MS,"Utah, E Nevada, NW Colorado",MS  utz,USA,UT,
,,USA_2019,MS,MS_meso,MSdh,MS  dh_WY,MSdh_WY,Montane Spruce ,Dry Hot Wyoming MS,"S Idaho, S Montana, Wyoming",MS  xxz,USA,WY,
,,BGCv11,MS,MS_meso,MSdk,MS  dk,MSdk,Montane Spruce,Dry Cool   MS  ,Dry Cool,,BC,BC,
,,USA_2019,MS,MS_meso,MSdk,MS  dk_CO,MSdk_CO,Montane Spruce ,Dry Cool Colorado  MS,"C Colorado, S Wyoming",MS  cow,USA,CO,
,,BGCv11,MS,MS_meso,MSdm,MS  dm 1,MSdm1,Montane Spruce,Dry Mild Okanagan MS  ,Dry Mild,,BC,BC,
,,BGCv11,MS,MS_meso,MSdm,MS  dm 2,MSdm2,Montane Spruce,Dry Mild Cascade MS  ,Dry Mild,,BC,BC,
,,BGCv11,MS,MS_meso,MSdm,MS  dm 3,MSdm3,Montane Spruce,Dry Mild North Thompson MS  ,Dry Mild,,BC,BC,
,,USA_2019,MS,MS_meso,MSdm,MS  dm_WA,MSdm_WA,Montane Spruce ,Dry Mild Washington MS,NW & NC Washington,MS  dmz,USA,WA,
,,BGCv11,MS,MS_meso,MSdv,MS  dv,MSdv,Montane Spruce,Dry Very Cold   MS  ,Dry Very Cold,,BC,BC,
,,BGCv11,MS,MS_meso,MSdw,MS  dw,MSdw,Montane Spruce,Dry Warm  MS  ,Dry Warm,,BC,BC,
,,USA_2019,MS,MS_meso,MSdw,MS  dw_MT,MSdw_MT,Montane Spruce ,Dry Warm Montana MS,NW Montana,MS  dwz,USA,MT,
,,USA_2019,MS,MS_meso,MSmm,MS  mm_ID,MSmm_ID,Montane Spruce ,Moist Mild Idaho MS,"C Idaho, SW Montana",MS  xmz,USA,ID,
x,,BGCv11,MS,MS_meso,MSmw,MS  mw 1,MSmw1,Montane Spruce,Moist Warm Cascade MS  ,Moist Warm,,BC,BC,
x,,BGCv11,MS,MS_meso,MSmw,MS  mw 2,MSmw2,Montane Spruce,Moist Warm Stein MS  ,Moist Warm,,BC,BC,
,,USA_2019,MS,MS_dry,MSxh,MS  xh_OR,MSxh_OR,Montane Spruce ,Very Dry Hot Oregon MS,NE Oregon,MS  xcy,USA,OR,
,,BGCv11,MS,MS_dry,MSxk,MS  xk 1,MSxk1,Montane Spruce,Very Dry Cool Similkameen MS  ,Very Dry Cool,,BC,BC,
,,BGCv11,MS,MS_dry,MSxk,MS  xk 2,MSxk2,Montane Spruce,Very Dry Cool South Thompson MS  ,Very Dry Cool,,BC,BC,
,,BGCv11,MS,MS_dry,MSxk,MS  xk 3,MSxk3,Montane Spruce,Very Dry Cool Pavillion MS  ,Very Dry Cool,,BC,BC,
,,USA_2019,MS,MS_dry,MSxk,MS  xk_WA,MSxk_WA,Montane Spruce ,Very Dry Cool Washington MS,NW Washington,MS  xkz,USA,WA,
,,USA_2019,MS,MS_dry,MSxm,MS  xm_CO,MSxm_CO,Montane Spruce ,Very Dry Mild Colorado MS,C and N Colorado,MS  coa,USA,CO,
,,BGCv11,MS,MS_dry,MSxv,MS  xv,MSxv,Montane Spruce,Very Dry Very Cold   MS  ,Very Dry Very Cold,,BC,BC,
,,USA_2019,MS,MS_dry,MSxx,MS  xx_NV,MSxx_NV,Montane Spruce ,Very Dry Very Hot Nevada MS,C Nevada,MS  nvz,USA,CO,
,,USA_2019,MSSD,MSSD,MSSDun,MSSDun_NV,MSSDun_NV,Mojave - Sonoran Semi-Desert,Nevada MSSD,"E California, S Nevada",MSSD un,USA,NV,
,,USA_2019,OW,OW,OWun,OW  un_CA,OWun_CA,Oak Woodland,California OW,C California,OW  caz,USA,CA,
,,USA_2019,PP,PP,PPmx,PP  mx_WY,PPmx_WY,Ponderosa Pine,Moist Very Hot Wyoming PP,NE Wyoming,PP  wy,USA,WY,
,,BGCv11,PP,PP,PPxh,PP  xh 1,PPxh1,Ponderosa Pine,Very Dry Hot Okanagan PP  ,Very Dry Hot,,BC,BC,
,,BGCv11,PP,PP,PPxh,PP  xh 2,PPxh2,Ponderosa Pine,Very Dry Hot Thompson PP  ,Very Dry Hot,,BC,BC,
x,,BGCv11,PP,PP,PPxh,PP  xh 3,PPxh3,Ponderosa Pine,Very Dry Hot Kettle PP  ,Very Dry Hot,,BC,BC,
,,USA_2019,PP,PP,PPxh,PP  xh_CO,PPxh_CO,Ponderosa Pine,Very Dry Hot Colorado PP,Colorado,PP  coz,USA,CO,
,,USA_2019,PP,PP,PPxh,PP  xh_WA,PPxh_WA,Ponderosa Pine,Very Dry Hot Washington PP,NE Washington & SW Idaho,PP  xhz,USA,WA,
,,USA_2019,PP,PP,PPxk,PP  xk_OR,PPxk_OR,Ponderosa Pine,Very Dry Cool Oregon PP,SC Oregon,PP  pum,USA,OR,
,,USA_2019,PP,PP,PPxm,PP  xm_OR,PPxm_OR,Ponderosa Pine,Very Dry Mild Oregon PP,C Oregon to NE CA,PP  orz,USA,OR,
,,USA_2019,PP,PP,PPxw,PP  xw_MT,PPxw_MT,Ponderosa Pine,Very Dry Warm Montana PP,"S Montana, NE Wyoming",PP  xxz,USA,MT,
,,USA_2019,PP,PP,PPxw,PP  xw_WY,PPxw_WY,Ponderosa Pine,Very Dry Warm Wyoming PP,S Wyoming,,USA,WY,
,,USA_2019,PP,PP,PPxx,PP  xx_OR,PPxx_OR,Ponderosa Pine,Very Dry Very Hot Oregon PP,"SC Washington, NC Oregon",PP  xyz,USA,OR,
,,AB_2018,SAS,SAS,SASbo,SAS bo,SASbo,Sub-arctic Spruce ,Boreal SAS,N Alberta,SAWSbo,AB,AB,
,,AB_2018,SBAP,SBAP,SBAPcp,SBAPcp,SBAPcp,Sub-boreal Aspen Parkland,Central Parkland BWSP,E Central Alberta,SBAPcp,AB,AB,No classification. Use edatopic space and ecosites from adjacent Boreal Mixedwood
,,AB_2018,SBAP,SBAP,SBAPfp,SBAPfp,SBAPfp,Sub-boreal Aspen Parkland,Foothills Parkland BWSP,SW Alberta,SBAPfp,AB,AB,
,,BGCv11,SBPS,SBPS,SBPSdc,SBPSdc,SBPSdc,Sub-boreal Pine -- Spruce,Dry Cold   SBPS,Dry Cold,,BC,BC,
,,BGCv11,SBPS,SBPS,SBPSmc,SBPSmc,SBPSmc,Sub-boreal Pine -- Spruce,Moist Cold   SBPS,Moist Cold,,BC,BC,
,,BGCv11,SBPS,SBPS,SBPSmk,SBPSmk,SBPSmk,Sub-boreal Pine -- Spruce,Moist Cool   SBPS,Moist Cool,,BC,BC,
,,BGCv11,SBPS,SBPS,SBPSxc,SBPSxc,SBPSxc,Sub-boreal Pine -- Spruce,Very Dry Cold   SBPS,Very Dry Cold,,BC,BC,
,,BGCv11,SBS,SBS_warm,SBSdh,SBS dh 1,SBSdh1,Sub-boreal Spruce,Dry Hot McLennan SBS ,Dry Hot,,BC,BC,
,no,BGCv11,SBS,SBS_warm,SBSdh,SBS dh 2,SBSdh2,Sub-boreal Spruce,Dry Hot Robson SBS ,Dry Hot,,BC,BC,
,,BGCv11,SBS,SBS_warm,SBSdk,SBS dk,SBSdk,Sub-boreal Spruce,Dry Cool   SBS ,Dry Cool,,BC,BC,
,,BGCv11,SBS,SBS_warm,SBSdw,SBS dw 1,SBSdw1,Sub-boreal Spruce,Dry Warm Horsefly SBS ,Dry Warm,,BC,BC,
,,BGCv11,SBS,SBS_warm,SBSdw,SBS dw 2,SBSdw2,Sub-boreal Spruce,Dry Warm Blackwater SBS ,Dry Warm,,BC,BC,
,,BGCv11,SBS,SBS_warm,SBSdw,SBS dw 3,SBSdw3,Sub-boreal Spruce,Dry Warm Stuart SBS ,Dry Warm,,BC,BC,
,,BGCv11,SBS,SBS_meso,SBSmc,SBS mc 1,SBSmc1,Sub-boreal Spruce,Moist Cold Moffat SBS ,Moist Cold,,BC,BC,
,,BGCv11,SBS,SBS_meso,SBSmc,SBS mc 2,SBSmc2,Sub-boreal Spruce,Moist Cold Babine SBS ,Moist Cold,,BC,BC,
,,BGCv11,SBS,SBS_meso,SBSmc,SBS mc 3,SBSmc3,Sub-boreal Spruce,Moist Cold Kluskus SBS ,Moist Cold,,BC,BC,
,,BGCv11,SBS,SBS_warm,SBSmh,SBS mh,SBSmh,Sub-boreal Spruce,Moist Hot   SBS ,Moist Hot,,BC,BC,
,,BGCv11,SBS,SBS_meso,SBSmk,SBS mk 1,SBSmk1,Sub-boreal Spruce,Moist Cool Mossvale SBS ,Moist Cool,,BC,BC,
,,BGCv11,SBS,SBS_meso,SBSmk,SBS mk 2,SBSmk2,Sub-boreal Spruce,Moist Cool Williston SBS ,Moist Cool,,BC,BC,
,,BGCv11,SBS,SBS_meso,SBSmm,SBS mm,SBSmm,Sub-boreal Spruce,Moist Mild   SBS ,Moist Mild,,BC,BC,
,,BGCv11,SBS,SBS_warm,SBSmw,SBS mw,SBSmw,Sub-boreal Spruce,Moist Warm   SBS ,Moist Warm,,BC,BC,
,no,BGCv11,SBS,SBS_meso,SBSun,SBS un,SBSun,Sub-boreal Spruce,Undifferentiated   SBS ,Undifferentiated,,BC,BC,
,,BGCv11,SBS,SBS_wet,SBSvk,SBS vk,SBSvk,Sub-boreal Spruce,Very Wet Cool   SBS ,Very Wet Cool,,BC,BC,
,,BGCv11,SBS,SBS_wet,SBSwk,SBS wk 1,SBSwk1,Sub-boreal Spruce,Wet Cool Willow SBS ,Wet Cool,,BC,BC,
,,BGCv11,SBS,SBS_wet,SBSwk,SBS wk 2,SBSwk2,Sub-boreal Spruce,Wet Cool Finlay-Peace SBS ,Wet Cool,,BC,BC,
,,BGCv11,SBS,SBS_wet,SBSwk,SBS wk 3,SBSwk3,Sub-boreal Spruce,Wet Cool Takla SBS ,Wet Cool,,BC,BC,
,,BGCv11,SBS,SBS_wet,SBSwka,SBS wk 3a,SBSwk3a,Sub-boreal Spruce,Wet Cool Takla SBS ,Wet Cool,,BC,BC,
,,USA_2019,SGP,SGP,SGPdm,SGP dm_CO,SGPdm_CO,Shortgrass Prairie,Dry Mild Colorado SGP,"Colorado, SE Wyoming",SGP un,USA,CO,
,,BGCv11,SWB,SWB,SWBmk,SWB mk,SWBmk,Spruce - Willow - Birch,Moist Cool   SWB ,Moist Cool,,BC,BC,
,no,BGCv11,SWB,SWB,SWBmks,SWB mks,SWBmks,Spruce - Willow - Birch,Moist Cool Scrub   SWB ,Moist Cool Scrub,,BC,BC,
,no,BGCv11,SWB,SWB,SWBun,SWB un,SWBun,Spruce - Willow - Birch,Undifferentiated   SWB ,Undifferentiated,,BC,BC,
,no,BGCv11,SWB,SWB,SWBuns,SWB uns,SWBuns,Spruce - Willow - Birch,Undifferentiated scrub  SWB ,Undifferentiated scrub,,BC,BC,
,no,BGCv11,SWB,SWB,SWBvk,SWB vk,SWBvk,Spruce - Willow - Birch,Very Wet Cool   SWB ,Very Wet Cool,,BC,BC,
,no,BGCv11,SWB,SWB,SWBvks,SWB vks,SWBvks,Spruce - Willow - Birch,Very Wet Cool Scrub   SWB ,Very Wet Cool Scrub,,BC,BC,
,,USA_2019,WJP,WJP,WJPxm,WJP xm_OR,WJPxm_OR,Western Juniper - Pine,Very Dry Mild Oregon WJP,"Oregon, NE California, SW Idaho",WJP juz,USA,OR,
