"index","GCM","SSP","RUN","PERIOD","CMAun","CMAun_WA","CMAunp","CWHmm1","CWHmm2","CWHvm_WA","CWHvm1","CWHvm2","CWHxm2","MHmm_WA","MHmm1","MHmmp","MHwh1","MHwhp","CWHdm","CWHdm_WA","CWHmh_OR","CWHvh_WA","CWHwh_WA","CWHwh2","MHwh","MHmm2","CWHdm_OR","CWHms2","CWHvh2","CWHds1","CMXwm_OR","CWHvh1","CWHvh3","CWHwh1","CWHvm_OR"
90,"ACCESS-ESM1-5","ssp245","ensembleMean","2061_2080",NA,NA,NA,216,590,2283,7327,634,7413,NA,7,NA,NA,NA,86,9482,4461,22,2129,NA,NA,NA,827,NA,NA,NA,6382,NA,NA,NA,NA
91,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2061_2080",NA,NA,NA,6,1007,391,13120,678,7602,NA,4,NA,NA,NA,419,4150,6968,277,1751,NA,NA,NA,33,3,NA,NA,5447,3,NA,NA,NA
92,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2061_2080",NA,NA,NA,7,257,5331,4528,578,5765,13,NA,NA,NA,NA,20,10483,4207,21,2399,NA,NA,NA,1052,NA,NA,NA,7198,NA,NA,NA,NA
93,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2061_2080",NA,NA,NA,4,1308,7347,44,453,6468,47,2,NA,NA,NA,NA,12999,3632,NA,2040,NA,NA,NA,1568,NA,NA,NA,5947,NA,NA,NA,NA
94,"CNRM-ESM2-1","ssp245","ensembleMean","2061_2080",NA,NA,NA,NA,104,334,20785,5453,2366,2,536,NA,NA,NA,3003,777,3791,2071,2634,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
95,"CNRM-ESM2-1","ssp245","r1i1p1f2","2061_2080",NA,NA,NA,NA,24,63,21904,5495,1000,NA,557,NA,NA,NA,5721,NA,1295,4958,818,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA
96,"CNRM-ESM2-1","ssp245","r2i1p1f2","2061_2080",NA,NA,NA,142,916,7697,9912,3722,1577,941,345,NA,NA,NA,1,8461,4834,94,3216,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
97,"CNRM-ESM2-1","ssp245","r3i1p1f2","2061_2080",NA,NA,NA,NA,19,130,22598,5167,1923,NA,476,NA,NA,NA,3080,124,2274,3509,2533,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA
98,"EC-Earth3","ssp245","ensembleMean","2061_2080",NA,NA,NA,NA,NA,509,22007,2338,523,NA,65,NA,NA,NA,410,424,5669,2895,5687,NA,NA,NA,NA,NA,87,NA,1244,1,NA,NA,NA
99,"EC-Earth3","ssp245","r15i1p1f1","2061_2080",NA,NA,NA,NA,1,530,21240,2387,189,NA,72,NA,NA,NA,47,621,6476,1269,7155,NA,NA,NA,NA,NA,28,NA,1824,20,NA,NA,NA
