"index","GCM","SSP","RUN","PERIOD","CDFmm","CDFmm_WA","CMAun","CMAun_WA","CMAunp","CWHdm","CWHdm_WA","CWHds1","CWHmh_OR","CWHmm1","CWHmm2","CWHms1","CWHms2","CWHvh_WA","CWHvh2","CWHvm_WA","CWHvm1","CWHvm2","CWHws2","CWHxm_WA","CWHxm1","CWHxm2","ESSFmw1","ESSFmwp","ESSFmww","MHmm_WA","MHmm1","MHmm2","MHmmp","CRFdh_CA","CWHms_WA","CWHwh_WA","ESSFvh_ID","MHms_WA","CMXwm_OR","CWFwm_OR","CWHdm_OR","MSxh_OR","CWFmm_OR","CWHds_WA","CWHms_OR","CWHvm_OR","IGFmm_OR","IGFxm_OR","MHds_WA","ESSFwm_MT","IDFww","IGFdw_OR","ICHdh_ID","CWHvh1","CWHwh1","ICHdw1","CDFmm_OR","MHwh1","MHwhp","CWHwh2"
143,"MIROC6","ssp245","ensembleMean","2081_2100",46,NA,NA,20,146,2345,6768,612,18350,770,1386,216,7,147,NA,1427,12921,2992,NA,3528,282,5726,NA,NA,NA,185,1369,8,NA,18594,NA,2301,NA,NA,3850,NA,4297,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA
144,"MIROC6","ssp245","r1i1p1f1","2081_2100",44,NA,NA,117,53,331,13790,203,10784,753,663,145,NA,NA,NA,8105,4841,1062,NA,9222,140,5175,NA,NA,NA,1310,487,8,NA,17523,7,967,NA,5,5002,1,7261,NA,NA,NA,1,293,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
145,"MIROC6","ssp245","r2i1p1f1","2081_2100",73,NA,NA,5,139,4036,3834,478,22631,178,1138,144,31,1047,NA,382,15937,3555,NA,1703,250,5046,NA,NA,NA,54,1387,4,NA,18483,NA,2360,NA,NA,3054,NA,2315,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,31,NA,NA,NA,NA,NA,NA
146,"MIROC6","ssp245","r3i1p1f1","2081_2100",45,NA,NA,36,144,1926,6089,613,19156,1064,1421,149,25,270,NA,1955,12157,2705,NA,1146,218,4426,NA,NA,NA,496,1262,9,NA,20095,NA,2355,NA,NA,4035,NA,6432,NA,NA,NA,NA,63,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA
147,"MPI-ESM1-2-HR","ssp245","ensembleMean","2081_2100",143,NA,NA,38,260,7906,7107,1164,16591,202,1485,975,2,24,NA,1368,11508,5088,NA,9459,779,5393,NA,NA,NA,230,1706,130,NA,11041,16,584,NA,1,926,NA,4153,13,NA,NA,NA,NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
148,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2081_2100",354,NA,NA,60,241,4958,9647,1829,11768,195,2278,1602,2,NA,NA,2189,8810,4768,NA,12426,1739,7011,NA,NA,NA,299,1501,292,NA,10326,56,528,NA,14,875,10,4472,28,NA,4,NA,NA,NA,3,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
149,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2081_2100",61,NA,NA,35,263,8892,6833,884,21711,156,833,678,1,236,NA,878,13984,5066,NA,6413,181,2810,NA,NA,NA,196,1647,46,NA,11982,NA,645,NA,NA,1101,NA,2761,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
150,"MRI-ESM2-0","ssp245","ensembleMean","2081_2100",2,NA,NA,3,100,3369,7277,73,23458,307,249,83,NA,233,27,2353,18120,3379,NA,6953,3,1779,NA,NA,NA,187,961,4,NA,9879,NA,1054,NA,NA,4952,NA,3468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,18,NA,NA
151,"MRI-ESM2-0","ssp245","r1i1p1f1","2081_2100",2,NA,NA,3,100,3369,7277,73,23458,307,249,83,NA,233,27,2353,18120,3379,NA,6953,3,1779,NA,NA,NA,187,961,4,NA,9879,NA,1054,NA,NA,4952,NA,3468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,18,NA,NA
152,"ensembleMean","ssp245","ensembleMean","2081_2100",20,NA,NA,2,80,4433,7245,376,20058,209,542,185,NA,83,NA,2132,14798,3265,NA,6882,23,3719,NA,NA,NA,105,1038,7,NA,14475,NA,1386,NA,NA,3955,NA,3278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
