Retire,withsubtaxa,Source,BGC,SS_NoSpace,Special,SpecialCode
,,USA_2019,ESSFdmp_ID,ESSFdmp_ID/Ro,Lithic,
,,BECv10,ESSFdv1,ESSFdv1/01,,
,,BECv10,ESSFdv1,ESSFdv1/02,,
,,BECv10,ESSFdv1,ESSFdv1/03,,
,,BECv10,ESSFdv1,ESSFdv1/04,,
,,BECv10,ESSFdv1,ESSFdv1/05,,
,,BECv10,ESSFdv1,ESSFdv1/06,,
,,BECv10,ESSFdv2,ESSFdv2/01,,
,,BECv10,ESSFdv2,ESSFdv2/02,,
,,BECv10,ESSFdv2,ESSFdv2/03,,
,,BECv10,ESSFdv2,ESSFdv2/04,,
,,BECv10,ESSFdv2,ESSFdv2/05,,
,,BECv10,ESSFdv2,ESSFdv2/06,,
,,BECv10,ESSFdvp,ESSFdvp/00,,
,,BECv10,ESSFdvw,ESSFdvw/01,,
,,BECv10,ESSFdvw,ESSFdvw/02,,
,,BECv10,ESSFdvw,ESSFdvw/03,,
,,BECv10,ESSFdvw,ESSFdvw/04,,
,,BECv10,ESSFdvw,ESSFdvw/05,,
,,BECv10,ESSFdvw,ESSFdvw/06,,
,s,BECv10,ESSFmc,ESSFmc/01,,
,p,BECv10,ESSFmc,ESSFmc/01a,,
,p,BECv10,ESSFmc,ESSFmc/01b,,
,,BECv10,ESSFmc,ESSFmc/02,,
,,BECv10,ESSFmc,ESSFmc/03,,
,,BECv10,ESSFmc,ESSFmc/04,,
,,BECv10,ESSFmc,ESSFmc/05,,
,,BECv10,ESSFmc,ESSFmc/06,,
,,BECv10,ESSFmc,ESSFmc/07,,
,,BECv10,ESSFmc,ESSFmc/08,Late Snow,SN
,,BECv10,ESSFmc,ESSFmc/09,,
,,BECv10,ESSFmc,ESSFmc/10,,
,,BECv10,ESSFmcp,ESSFmcp/00,,
,s,BECv12,ESSFmcw,ESSFmcw/101,,
,p,BECv12,ESSFmcw,ESSFmcw/101a,,
,p,BECv12,ESSFmcw,ESSFmcw/101b,,
,,BECv12,ESSFmcw,ESSFmcw/102,,
,,BECv12,ESSFmcw,ESSFmcw/103,Late Snow,SN
,,BECv12,ESSFmcw,ESSFmcw/110,,
,,BECv12,ESSFmcw,ESSFmcw/111,,
,,BECv12,ESSFmcw,ESSFmcw/Ro,Lithic,
,,BECv10,ESSFmh,ESSFmh/101,,
,,BECv10,ESSFmh,ESSFmh/102,,
,,BECv10,ESSFmh,ESSFmh/103,,
,,BECv10,ESSFmh,ESSFmh/104,,
,,BECv10,ESSFmh,ESSFmh/105,,
,,BECv10,ESSFmh,ESSFmh/110,,
,,BECv10,ESSFmh,ESSFmh/111,,
,,BECv10,ESSFmh,ESSFmh/112,,
,v,BECv10,ESSFmh,ESSFmh/112.1,,
,v,BECv10,ESSFmh,ESSFmh/112.2,,
,,BECv10,ESSFmh,ESSFmh/Ro,Lithic,
,,BECv10,ESSFmk,ESSFmk/01,,
,s,BECv10,ESSFmk,ESSFmk/02,,
,p,BECv10,ESSFmk,ESSFmk/02a,,
,p,BECv10,ESSFmk,ESSFmk/02b,,
,,BECv10,ESSFmk,ESSFmk/03,,
,,BECv10,ESSFmk,ESSFmk/04,,
,,BECv10,ESSFmk,ESSFmk/05,,
,,BECv10,ESSFmk,ESSFmk/06,,
,,BECv10,ESSFmk,ESSFmk/07,,
,,BECv10,ESSFmkp,ESSFmkp/00,,
,,BECv12,ESSFmkw,ESSFmkw/101,,
,,BECv12,ESSFmkw,ESSFmkw/102,,
,,BECv12,ESSFmkw,ESSFmkw/103,Late Snow,SN
,,BECv12,ESSFmkw,ESSFmkw/104,,
,,BECv12,ESSFmkw,ESSFmkw/110,,
,,BECv12,ESSFmkw,ESSFmkw/111,,
,,BECv12,ESSFmkw,ESSFmkw/Ro,Lithic,
,,BECv10,ESSFmm1,ESSFmm1/01,,
,,BECv10,ESSFmm1,ESSFmm1/02,,
,,BECv10,ESSFmm1,ESSFmm1/03,,
,,BECv10,ESSFmm1,ESSFmm1/04,,
,,BECv10,ESSFmm1,ESSFmm1/05,,
,,BECv10,ESSFmm1,ESSFmm1/06,,
,,BECv10,ESSFmm1,ESSFmm1/07,,
,,BECv10,ESSFmm1,ESSFmm1/Ro,Lithic,
,,BECv10,ESSFmm2,ESSFmm2/01,,
,,BECv10,ESSFmm2,ESSFmm2/02,,
,,BECv10,ESSFmm2,ESSFmm2/03,,
,,BECv10,ESSFmm2,ESSFmm2/04,,
,,BECv10,ESSFmm2,ESSFmm2/05,,
,,BECv10,ESSFmm2,ESSFmm2/06,,
,,BECv10,ESSFmm2,ESSFmm2/07,,
,,BECv10,ESSFmm2,ESSFmm2/Ro,Lithic,
,,BECv11,ESSFmm3,ESSFmm3/101,,
,,BECv11,ESSFmm3,ESSFmm3/102,,
,,BECv11,ESSFmm3,ESSFmm3/103,,
,,BECv11,ESSFmm3,ESSFmm3/104,,
,,BECv11,ESSFmm3,ESSFmm3/110,,
,,BECv11,ESSFmm3,ESSFmm3/111,,
,,BECv11,ESSFmm3,ESSFmm3/112,,
,,BECv11,ESSFmm3,ESSFmm3/Ro,Lithic,
,,BECv10,ESSFmmp,ESSFmmp/00,,
,,BECv10,ESSFmmw,ESSFmmw/01,,
,,BECv10,ESSFmmw,ESSFmmw/02,,
,,BECv10,ESSFmmw,ESSFmmw/03,,
,,BECv10,ESSFmmw,ESSFmmw/04,,
,,BECv10,ESSFmmw,ESSFmmw/05,,
,,BECv10,ESSFmmw,ESSFmmw/06,,
,,BECv10,ESSFmmw,ESSFmmw/07,,
,,BECv10,ESSFmmw,ESSFmmw/Ro,Lithic,
,,BECv10,ESSFmv1,ESSFmv1/01,,
,,BECv10,ESSFmv1,ESSFmv1/02,,
,,BECv10,ESSFmv1,ESSFmv1/03,,
,,BECv10,ESSFmv1,ESSFmv1/04,,
,,BECv10,ESSFmv1,ESSFmv1/05,,
,,BECv10,ESSFmv1,ESSFmv1/Ro,Lithic,
,,BECv10,ESSFmv2,ESSFmv2/01,,
,,BECv10,ESSFmv2,ESSFmv2/02,,
,,BECv10,ESSFmv2,ESSFmv2/03,Cool aspects/cold air,CA
,,BECv10,ESSFmv2,ESSFmv2/04,,
,,BECv10,ESSFmv2,ESSFmv2/05,,
,,BECv10,ESSFmv2,ESSFmv2/06,,
,,BECv10,ESSFmv2,ESSFmv2/Ro,Lithic,
,,BECv10,ESSFmv3,ESSFmv3/01,,
,,BECv10,ESSFmv3,ESSFmv3/02,,
,,BECv10,ESSFmv3,ESSFmv3/03,Cool aspects/cold air,CA
,,BECv10,ESSFmv3,ESSFmv3/04,,
,,BECv10,ESSFmv3,ESSFmv3/05,,
,,BECv10,ESSFmv3,ESSFmv3/06,,
,,BECv10,ESSFmv3,ESSFmv3/07,,
,,BECv10,ESSFmv3,ESSFmv3/08,,
,,BECv10,ESSFmv3,ESSFmv3/Ro,Lithic,
,,BECv10,ESSFmv4,ESSFmv4/01,,
,,BECv10,ESSFmv4,ESSFmv4/02,,
,,BECv10,ESSFmv4,ESSFmv4/03,Cool aspects/cold air,CA
,,BECv10,ESSFmv4,ESSFmv4/04,,
,,BECv10,ESSFmv4,ESSFmv4/05,,
,,BECv10,ESSFmv4,ESSFmv4/Ro,Lithic,
,,BECv10,ESSFmvp,ESSFmvp/00,,
,,BECv10,ESSFmw,ESSFmw/01,,
,,BECv10,ESSFmw,ESSFmw/02,,
,,BECv10,ESSFmw,ESSFmw/03,,
,,BECv10,ESSFmw,ESSFmw/04,,
,,BECv10,ESSFmw,ESSFmw/05,,
,,BECv10,ESSFmw,ESSFmw/06,,
,,BECv10,ESSFmw,ESSFmw/07,,
,,BECv10,ESSFmw,ESSFmw/08,,
,,USA_2019,ESSFmw_WA,ESSFmw_WA/101,,
,,USA_2019,ESSFmw_WA,ESSFmw_WA/102,,
,,USA_2019,ESSFmw_WA,ESSFmw_WA/103,,
,,USA_2019,ESSFmw_WA,ESSFmw_WA/110,,
,,USA_2019,ESSFmw_WA,ESSFmw_WA/111,,
,,USA_2019,ESSFmw_WA,ESSFmw_WA/Ro,Lithic,
,,BECv12,ESSFmw1,ESSFmw1/101,,
,v,BECv12,ESSFmw1,ESSFmw1/101.1,,
,v,BECv12,ESSFmw1,ESSFmw1/101.2,,
,,BECv12,ESSFmw1,ESSFmw1/102,,
,v,BECv12,ESSFmw1,ESSFmw1/102.1,,
,v,BECv12,ESSFmw1,ESSFmw1/102.2,,
,,BECv12,ESSFmw1,ESSFmw1/103,,
,,BECv12,ESSFmw1,ESSFmw1/104,Insolation,IN
,,BECv12,ESSFmw1,ESSFmw1/105,,
,,BECv12,ESSFmw1,ESSFmw1/110,Cool aspects/cold air,CAS
,,BECv12,ESSFmw1,ESSFmw1/111,,
,,BECv10,ESSFmw2,ESSFmw2/01,,
,,BECv10,ESSFmw2,ESSFmw2/02,,
,,BECv10,ESSFmw2,ESSFmw2/03,,
,,BECv10,ESSFmw2,ESSFmw2/04,,
,,BECv10,ESSFmw2,ESSFmw2/05,,
,,BECv10,ESSFmw2,ESSFmw2/06,,
,,BECv10,ESSFmw2,ESSFmw2/07,,
,,BECv10,ESSFmw2,ESSFmw2/08,,
,,BECv10,ESSFmwp,ESSFmwp/00,,
,,USA_2019,ESSFmwp_WA,ESSFmwp_WA/00,,
,,BECv12,ESSFmww,ESSFmww/101,,
,,BECv12,ESSFmww,ESSFmww/102,,
,,BECv12,ESSFmww,ESSFmww/103,,
,,BECv12,ESSFmww,ESSFmww/110,,
,,BECv10,ESSFun,ESSFun/h,,
,,BECv10,ESSFun,ESSFun/m,,
,,BECv10,ESSFun,ESSFun/x,,
,,BECv10,ESSFunp,ESSFunp/00,,
,,BECv10,ESSFvc,ESSFvc/01,,
,,BECv10,ESSFvc,ESSFvc/02,,
,,BECv10,ESSFvc,ESSFvc/03,,
,,BECv10,ESSFvc,ESSFvc/04,,
,,BECv10,ESSFvc,ESSFvc/05,,
,,BECv10,ESSFvc,ESSFvc/06,,
,,BECv10,ESSFvcp,ESSFvcp/00,,
,,BECv10,ESSFvcw,ESSFvcw/01,,
,,BECv10,ESSFvcw,ESSFvcw/02,,
,,BECv10,ESSFvcw,ESSFvcw/03,,
,,BECv10,ESSFvcw,ESSFvcw/04,,
,,BECv10,ESSFvcw,ESSFvcw/05,,
,,BECv10,ESSFvcw,ESSFvcw/06,,
,,USA_2019,ESSFvh_ID,ESSFvh_ID/101,,
,,USA_2019,ESSFvh_ID,ESSFvh_ID/102,,
,,USA_2019,ESSFvh_ID,ESSFvh_ID/103,,
,,USA_2019,ESSFvh_ID,ESSFvh_ID/110,,
,,USA_2019,ESSFvh_ID,ESSFvh_ID/111,,
,,USA_2019,ESSFvh_ID,ESSFvh_ID/Ro,Lithic,
,,BECv10,ESSFwc2,ESSFwc2/01,,
,,BECv10,ESSFwc2,ESSFwc2/02,,
,,BECv10,ESSFwc2,ESSFwc2/03,,
,,BECv10,ESSFwc2,ESSFwc2/04,,
,,BECv10,ESSFwc2,ESSFwc2/05,,
,,BECv10,ESSFwc2,ESSFwc2/06,,
,,BECv10,ESSFwc2,ESSFwc2/07,,
,,BECv10,ESSFwc2,ESSFwc2/08,,
,,BECv10,ESSFwc2,ESSFwc2/09,,
,,BECv10,ESSFwc2,ESSFwc2/10,,
,,BECv10,ESSFwc2,ESSFwc2/Ro,Lithic,
,,BECv10,ESSFwc3,ESSFwc3/01,,
,,BECv10,ESSFwc3,ESSFwc3/02,,
,,BECv10,ESSFwc3,ESSFwc3/03,Late Snow,SN
,,BECv10,ESSFwc3,ESSFwc3/Ro,Lithic,
,,BECv10,ESSFwc4,ESSFwc4/101,,
,,BECv10,ESSFwc4,ESSFwc4/102,,
,s,BECv10,ESSFwc4,ESSFwc4/103,,
,p,BECv10,ESSFwc4,ESSFwc4/103a,,
,p,BECv10,ESSFwc4,ESSFwc4/103b,,
,,BECv10,ESSFwc4,ESSFwc4/110,,
,,BECv10,ESSFwc4,ESSFwc4/111,,
,s,BECv10,ESSFwc4,ESSFwc4/112,,
,p,BECv10,ESSFwc4,ESSFwc4/112a,High fluvial bench,Fh
,p,BECv10,ESSFwc4,ESSFwc4/112b,,
,,BECv10,ESSFwc4,ESSFwc4/Ro,Lithic,
,,BECv10,ESSFwcp,ESSFwcp/00,,
,,BECv10,ESSFwcw,ESSFwcw/101,,
,,BECv10,ESSFwcw,ESSFwcw/102,,
,,BECv10,ESSFwcw,ESSFwcw/103,,
,,BECv10,ESSFwcw,ESSFwcw/104,Late Snow,SN
,,BECv10,ESSFwcw,ESSFwcw/110,,
,,BECv10,ESSFwcw,ESSFwcw/Ro,Lithic,
,,USA_2019,ESSFwh_MT,ESSFwh_MT/101,,
,,USA_2019,ESSFwh_MT,ESSFwh_MT/102,,
,,USA_2019,ESSFwh_MT,ESSFwh_MT/110,,
,,USA_2019,ESSFwh_MT,ESSFwh_MT/111,,
,,USA_2019,ESSFwh_MT,ESSFwh_MT/Ro,Lithic,
,,BECv10,ESSFwh1,ESSFwh1/101,,
,,BECv10,ESSFwh1,ESSFwh1/102,,
,,BECv10,ESSFwh1,ESSFwh1/103,Insolation,IN
,,BECv10,ESSFwh1,ESSFwh1/104,,
,,BECv10,ESSFwh1,ESSFwh1/110,,
,s,BECv10,ESSFwh1,ESSFwh1/111,,
,p,BECv10,ESSFwh1,ESSFwh1/111a,High fluvial bench,Fh
,p,BECv10,ESSFwh1,ESSFwh1/111b,,
,,BECv10,ESSFwh1,ESSFwh1/Ro,Lithic,
,,BECv10,ESSFwh2,ESSFwh2/101,,
,,BECv10,ESSFwh2,ESSFwh2/102,,
,,BECv10,ESSFwh2,ESSFwh2/103,Insolation,IN
,,BECv10,ESSFwh2,ESSFwh2/104,,
,,BECv10,ESSFwh2,ESSFwh2/110,,
,,BECv10,ESSFwh2,ESSFwh2/111,,
,s,BECv10,ESSFwh2,ESSFwh2/112,,
,p,BECv10,ESSFwh2,ESSFwh2/112a,High fluvial bench,Fh
,p,BECv10,ESSFwh2,ESSFwh2/112b,,
,,BECv10,ESSFwh2,ESSFwh2/Ro,Lithic,
,,BECv10,ESSFwh3,ESSFwh3/101,,
,,BECv10,ESSFwh3,ESSFwh3/102,,
,,BECv10,ESSFwh3,ESSFwh3/103,Insolation,IN
,,BECv10,ESSFwh3,ESSFwh3/104,,
,,BECv10,ESSFwh3,ESSFwh3/110,,
,,BECv10,ESSFwh3,ESSFwh3/111,,
,s,BECv10,ESSFwh3,ESSFwh3/112,,
,p,BECv10,ESSFwh3,ESSFwh3/112a,High fluvial bench,Fh
,p,BECv10,ESSFwh3,ESSFwh3/112b,,
,,BECv10,ESSFwh3,ESSFwh3/Ro,Lithic,
,,BECv10,ESSFwk1,ESSFwk1/01,,
,,BECv10,ESSFwk1,ESSFwk1/02,,
,,BECv10,ESSFwk1,ESSFwk1/03,,
,,BECv10,ESSFwk1,ESSFwk1/04,Cold air influence,CA
,,BECv10,ESSFwk1,ESSFwk1/05,,
,,BECv10,ESSFwk1,ESSFwk1/06,Cold air influence,CA
,,BECv10,ESSFwk1,ESSFwk1/07,,
,,BECv10,ESSFwk1,ESSFwk1/Ro,Lithic,
,,BECv10,ESSFwk2,ESSFwk2/01,,
,,BECv10,ESSFwk2,ESSFwk2/02,,
,,BECv10,ESSFwk2,ESSFwk2/03,,
,,BECv10,ESSFwk2,ESSFwk2/04,,
,,BECv10,ESSFwk2,ESSFwk2/05,,
,,BECv10,ESSFwk2,ESSFwk2/06,,
,,BECv10,ESSFwk2,ESSFwk2/Ro,Lithic,
,,USA_2019,ESSFwm_MT,ESSFwm_MT/101,,
,,USA_2019,ESSFwm_MT,ESSFwm_MT/102,,
,,USA_2019,ESSFwm_MT,ESSFwm_MT/103,,
,,USA_2019,ESSFwm_MT,ESSFwm_MT/110,,
,,USA_2019,ESSFwm_MT,ESSFwm_MT/111,,
,,USA_2019,ESSFwm_MT,ESSFwm_MT/Ro,Lithic,
,,BECv11,ESSFwm1,ESSFwm1/101,,
,,BECv11,ESSFwm1,ESSFwm1/102,,
,,BECv11,ESSFwm1,ESSFwm1/103,Insolation,IN
,,BECv11,ESSFwm1,ESSFwm1/104,Cool aspects/cold air,CAS
,,BECv11,ESSFwm1,ESSFwm1/110,,
,,BECv11,ESSFwm1,ESSFwm1/111,,
,,BECv11,ESSFwm1,ESSFwm1/112,,
,,BECv11,ESSFwm1,ESSFwm1/Ro,Lithic,
,,BECv10,ESSFwm2,ESSFwm2/101,,
,,BECv10,ESSFwm2,ESSFwm2/102,,
,,BECv10,ESSFwm2,ESSFwm2/103,,
,,BECv10,ESSFwm2,ESSFwm2/104,,
,,BECv10,ESSFwm2,ESSFwm2/110,,
,,BECv10,ESSFwm2,ESSFwm2/111,,
,s,BECv10,ESSFwm2,ESSFwm2/112,,
,p,BECv10,ESSFwm2,ESSFwm2/112a,High fluvial bench,Fh
,p,BECv10,ESSFwm2,ESSFwm2/112b,,
,,BECv10,ESSFwm2,ESSFwm2/Ro,Lithic,
,,BECv10,ESSFwm3,ESSFwm3/101,,
,,BECv10,ESSFwm3,ESSFwm3/102,,
,,BECv10,ESSFwm3,ESSFwm3/103,Insolation,IN
,,BECv10,ESSFwm3,ESSFwm3/104,Cool aspects/cold air,CAS
,,BECv10,ESSFwm3,ESSFwm3/105,,
,,BECv10,ESSFwm3,ESSFwm3/110,,
,,BECv10,ESSFwm3,ESSFwm3/111,,
,s,BECv10,ESSFwm3,ESSFwm3/112,,
,p,BECv10,ESSFwm3,ESSFwm3/112a,High fluvial bench,Fh
,p,BECv10,ESSFwm3,ESSFwm3/112b,,
,,BECv10,ESSFwm3,ESSFwm3/Ro,Lithic,
,,BECv10,ESSFwm4,ESSFwm4/101,,
,s,BECv10,ESSFwm4,ESSFwm4/102,,
,p,BECv10,ESSFwm4,ESSFwm4/102a,,
,p,BECv10,ESSFwm4,ESSFwm4/102b,,
,,BECv10,ESSFwm4,ESSFwm4/103,,
,,BECv10,ESSFwm4,ESSFwm4/110,,
,,BECv10,ESSFwm4,ESSFwm4/111,,
,,BECv10,ESSFwm4,ESSFwm4/Ro,Lithic,
,,BECv10,ESSFwmp,ESSFwmp/00,,
,,USA_2019,ESSFwmp_MT,ESSFwmp_MT/00,,
,,BECv10,ESSFwmw,ESSFwmw/101,,
,,BECv10,ESSFwmw,ESSFwmw/102,,
,,BECv10,ESSFwmw,ESSFwmw/103,,
,,BECv10,ESSFwmw,ESSFwmw/110,,
,,BECv10,ESSFwmw,ESSFwmw/Ro,Lithic,
,,BECv10,ESSFwv,ESSFwv/01,,
,,BECv10,ESSFwv,ESSFwv/02,,
,,BECv10,ESSFwv,ESSFwv/03,,
,,BECv10,ESSFwv,ESSFwv/04,,
,,BECv10,ESSFwv,ESSFwv/05,,
,,BECv10,ESSFwv,ESSFwv/06,,
,,BECv10,ESSFwv,ESSFwv/07,,
,,BECv10,ESSFwv,ESSFwv/08,,
,,BECv10,ESSFwv,ESSFwv/09,,
,,BECv10,ESSFwvp,ESSFwvp/00,,
,,BECv12,ESSFwvw,ESSFwvw/101,,
,,BECv12,ESSFwvw,ESSFwvw/102,,
,,BECv12,ESSFwvw,ESSFwvw/103,Late Snow,SN
,,BECv12,ESSFwvw,ESSFwvw/104,,
,,BECv12,ESSFwvw,ESSFwvw/105,Cool aspects/cold air,CAS
,,BECv12,ESSFwvw,ESSFwvw/110,,
,,BECv12,ESSFwvw,ESSFwvw/111,,
,,BECv12,ESSFwvw,ESSFwvw/Ro,Lithic,
,,USA_2019,ESSFxc_CO,ESSFxc_CO/101,,
,,USA_2019,ESSFxc_CO,ESSFxc_CO/102,,
,,USA_2019,ESSFxc_CO,ESSFxc_CO/103,,
,,USA_2019,ESSFxc_CO,ESSFxc_CO/110,,
,,USA_2019,ESSFxc_CO,ESSFxc_CO/111,,
,,USA_2019,ESSFxc_CO,ESSFxc_CO/Ro,Lithic,
,,USA_2019,ESSFxc_WA,ESSFxc_WA/101,,
,,USA_2019,ESSFxc_WA,ESSFxc_WA/102,,
,,USA_2019,ESSFxc_WA,ESSFxc_WA/103,,
,,USA_2019,ESSFxc_WA,ESSFxc_WA/110,,
,,USA_2019,ESSFxc_WA,ESSFxc_WA/111,,
,,USA_2019,ESSFxc_WA,ESSFxc_WA/Ro,Lithic,
,,BECv12,ESSFxc1,ESSFxc1/101,,
,,BECv12,ESSFxc1,ESSFxc1/102,,
,,BECv12,ESSFxc1,ESSFxc1/103,,
,,BECv12,ESSFxc1,ESSFxc1/104,,
,,BECv12,ESSFxc1,ESSFxc1/105,,
,,BECv12,ESSFxc1,ESSFxc1/110,Cool aspects/cold air,CAS
,,BECv12,ESSFxc1,ESSFxc1/111,,
,,BECv12,ESSFxc1,ESSFxc1/112,,
,,BECv12,ESSFxc1,ESSFxc1/113,,
,,BECv10,ESSFxc1,ESSFxc1/Gg,Insolation,IN2
,,BECv12,ESSFxc2,ESSFxc2/101,,
,,BECv12,ESSFxc2,ESSFxc2/102,,
,s,BECv12,ESSFxc2,ESSFxc2/103,,
,p,BECv12,ESSFxc2,ESSFxc2/103a,,
,p,BECv12,ESSFxc2,ESSFxc2/103b,,
,,BECv12,ESSFxc2,ESSFxc2/110,Cool aspects/cold air,CAS
,,BECv12,ESSFxc2,ESSFxc2/111,,
,,BECv12,ESSFxc2,ESSFxc2/112,,
,,BECv10,ESSFxc2,ESSFxc2/Gg,Insolation,IN2
,,BECv12,ESSFxc2,ESSFxc2/Ws12,,
,,BECv10,ESSFxc3,ESSFxc3/01,,
,,BECv10,ESSFxc3,ESSFxc3/02,,
,,BECv10,ESSFxc3,ESSFxc3/03,,
,,BECv10,ESSFxc3,ESSFxc3/04,,
,,BECv10,ESSFxc3,ESSFxc3/05,,
,,BECv10,ESSFxc3,ESSFxc3/06,,
,,BECv10,ESSFxc3,ESSFxc3/07,,
,,BECv10,ESSFxc3,ESSFxc3/08,,
,,BECv10,ESSFxc3,ESSFxc3/09,,
,,BECv10,ESSFxc3,ESSFxc3/10,,
,,BECv10,ESSFxcp,ESSFxcp/00,,
,,USA_2019,ESSFxcp_CO,ESSFxcp_CO/00,,
,,USA_2019,ESSFxcp_CO,ESSFxcp_CO/Ro,Lithic,
,,USA_2019,ESSFxcp_WA,ESSFxcp_WA/00,,
,,BECv12,ESSFxcw,ESSFxcw/101,,
,,BECv12,ESSFxcw,ESSFxcw/102,,
,,BECv12,ESSFxcw,ESSFxcw/103,,
,,BECv12,ESSFxcw,ESSFxcw/110,,
,,BECv12,ESSFxcw,ESSFxcw/111,,
,,BECv12,ESSFxcw,ESSFxcw/112,,
,,BECv12,ESSFxcw,ESSFxcw/Gg,Insolation,IN2
,,USA_2019,ESSFxh_WA,ESSFxh_WA/101,,
,,USA_2019,ESSFxh_WA,ESSFxh_WA/102,,
,,USA_2019,ESSFxh_WA,ESSFxh_WA/103,,
,,USA_2019,ESSFxh_WA,ESSFxh_WA/110,,
,,USA_2019,ESSFxh_WA,ESSFxh_WA/111,,
,,USA_2019,ESSFxh_WA,ESSFxh_WA/Ro,Lithic,
,,USA_2019,ESSFxk_MT,ESSFxk_MT/101,,
,,USA_2019,ESSFxk_MT,ESSFxk_MT/102,,
,,USA_2019,ESSFxk_MT,ESSFxk_MT/103,,
,,USA_2019,ESSFxk_MT,ESSFxk_MT/110,,
,,USA_2019,ESSFxk_MT,ESSFxk_MT/111,,
,,USA_2019,ESSFxk_MT,ESSFxk_MT/Ro,Lithic,
,,USA_2019,ESSFxk_UT,ESSFxk_UT/101,,
,,USA_2019,ESSFxk_UT,ESSFxk_UT/102,,
,,USA_2019,ESSFxk_UT,ESSFxk_UT/103,,
,,USA_2019,ESSFxk_UT,ESSFxk_UT/110,,
,,USA_2019,ESSFxk_UT,ESSFxk_UT/111,,
,,USA_2019,ESSFxk_UT,ESSFxk_UT/Ro,Lithic,
,,USA_2020,ESSFxk_WY,ESSFxk_WY/101,,
,,USA_2020,ESSFxk_WY,ESSFxk_WY/102,,
,,USA_2020,ESSFxk_WY,ESSFxk_WY/103,,
,,USA_2020,ESSFxk_WY,ESSFxk_WY/110,,
,,USA_2020,ESSFxk_WY,ESSFxk_WY/111,,
,,USA_2019,ESSFxk_WY,ESSFxk_WY/Ro,Lithic,
,,USA_2019,ESSFxkp_MT,ESSFxkp_MT/00,,
,,USA_2019,ESSFxkp_MT,ESSFxkp_MT/Ro,Lithic,
,,USA_2019,ESSFxkp_UT,ESSFxkp_UT/00,,
,,USA_2019,ESSFxkp_UT,ESSFxkp_UT/Ro,Lithic,
,,USA_2020,ESSFxkp_WY,ESSFxkp_WY/00,,
,,USA_2019,ESSFxkp_WY,ESSFxkp_WY/Ro,Lithic,
,,BECv10,ESSFxv1,ESSFxv1/01,,
,,BECv10,ESSFxv1,ESSFxv1/02,,
,,BECv10,ESSFxv1,ESSFxv1/03,,
,,BECv10,ESSFxv1,ESSFxv1/04,Insolation,IN
,,BECv10,ESSFxv1,ESSFxv1/05,Cool aspects/cold air,CAS
,,BECv10,ESSFxv1,ESSFxv1/06,Cool aspects/cold air,CAS
,,BECv10,ESSFxv1,ESSFxv1/07,,
,,BECv10,ESSFxv1,ESSFxv1/08,Cold air influence,CA
,,BECv10,ESSFxv1,ESSFxv1/09,,
,,BECv10,ESSFxv2,ESSFxv2/01,,
,,BECv10,ESSFxv2,ESSFxv2/02,,
,,BECv10,ESSFxv2,ESSFxv2/03,,
,,BECv10,ESSFxv2,ESSFxv2/04,,
,,BECv10,ESSFxv2,ESSFxv2/05,,
,,BECv10,ESSFxv2,ESSFxv2/06,,
,,BECv10,ESSFxv2,ESSFxv2/07,,
,,BECv10,ESSFxv2,ESSFxv2/08,,
,,BECv10,ESSFxv2,ESSFxv2/09,,
,,BECv10,ESSFxv2,ESSFxv2/10,,
,,BECv10,ESSFxv2,ESSFxv2/Ro,Lithic,
,,BECv10,ESSFxvp,ESSFxvp/00,,
,,BECv10,ESSFxvw,ESSFxvw/01,,
,,BECv10,ESSFxvw,ESSFxvw/02,,
,,BECv10,ESSFxvw,ESSFxvw/03,,
,,BECv10,ESSFxvw,ESSFxvw/04,,
,,BECv10,ESSFxvw,ESSFxvw/05,,
,,BECv10,ESSFxvw,ESSFxvw/06,,
,,BECv10,ESSFxvw,ESSFxvw/07,,
,,BECv10,ESSFxvw,ESSFxvw/08,,
,,BECv10,ESSFxvw,ESSFxvw/09,,
,,BECv10,ESSFxvw,ESSFxvw/10,,
,,USA_2019,ESSFxw_OR,ESSFxw_OR/101,,
,,USA_2019,ESSFxw_OR,ESSFxw_OR/102,,
,,USA_2019,ESSFxw_OR,ESSFxw_OR/103,,
,,USA_2019,ESSFxw_OR,ESSFxw_OR/110,,
,,USA_2019,ESSFxw_OR,ESSFxw_OR/111,,
,,USA_2019,ESSFxw_OR,ESSFxw_OR/Ro,Lithic,
,,USA_2019,ESSFxwp_OR,ESSFxwp_OR/00,,
,,USA_2020,ESSFxx_WY,ESSFxx_WY/101,,
,,USA_2020,ESSFxx_WY,ESSFxx_WY/102,,
,,USA_2020,ESSFxx_WY,ESSFxx_WY/103,,
,,USA_2020,ESSFxx_WY,ESSFxx_WY/110,,
,,USA_2020,ESSFxx_WY,ESSFxx_WY/111,,
,,USA_2019,ESSFxx_WY,ESSFxx_WY/Ro,Lithic,
,,USA_2020,ESSFxxp_WY,ESSFxxp_WY/00,,
,,USA_2019,ESSFxxp_WY,ESSFxxp_WY/Ro,Lithic,
,,AB_2018,FGff,FGff/00,,
,,AB_2018,FGnf,FGnf/00,,
,,USA_2019,GBDdw_UT,GBDdw_UT/110,,
,,USA_2019,GBDdw_UT,GBDdw_UT/111,,
,,USA_2019,GBDdw_UT,GBDdw_UT/Gg,Insolation,IN2
,,USA_2019,GBDdw_UT,GBDdw_UT/Ro,Lithic,
