"index","GCM","SSP","RUN","PERIOD","CMAun_WA","CMAunp","CWHdm","CWHmm1","CWHmm2","CWHms1","CWHvm1","CWHvm2","CWHxm1","CWHxm2","MHmm1","MHmm2","CWHds1","MHmm_WA","CWHdm_WA","CWHvm_WA","CWHws2","CWHms2","CWHwh1","CWHmh_OR","CWHxm_WA","CWHdm_OR","CWHvh_WA","CWHds2","CWHwh_WA","CWHvm_OR","CMXwm_OR","CRFdh_CA"
86,"MIROC6","ssp245","r3i1p1f1","2041_2060",NA,10,4405,336,4627,NA,2355,1316,390,14985,973,NA,971,85,3660,40,NA,NA,NA,121,NA,NA,NA,NA,2,NA,NA,NA
87,"MPI-ESM1-2-HR","ssp245","ensembleMean","2041_2060",19,5,4663,797,3676,8,3053,1266,407,10278,1153,NA,523,353,7255,744,NA,NA,NA,76,NA,NA,NA,NA,NA,NA,NA,NA
88,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2041_2060",6,19,3105,170,989,NA,5750,4312,388,10808,1275,NA,3443,200,3625,123,NA,15,4,44,NA,NA,NA,NA,NA,NA,NA,NA
89,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2041_2060",134,NA,997,168,4876,7,63,12,168,7605,473,NA,12,831,14851,3843,NA,NA,NA,236,NA,NA,NA,NA,NA,NA,NA,NA
90,"MRI-ESM2-0","ssp245","ensembleMean","2041_2060",NA,7,7780,161,664,100,3635,3030,2,7672,534,NA,7495,35,1547,434,6,1151,NA,23,NA,NA,NA,NA,NA,NA,NA,NA
91,"MRI-ESM2-0","ssp245","r1i1p1f1","2041_2060",NA,7,7780,161,664,100,3635,3030,2,7672,534,NA,7495,35,1547,434,6,1151,NA,23,NA,NA,NA,NA,NA,NA,NA,NA
92,"ensembleMean","ssp245","ensembleMean","2041_2060",NA,5,7657,404,1962,28,3765,2333,64,8917,511,NA,5453,41,2752,216,NA,NA,NA,168,NA,NA,NA,NA,NA,NA,NA,NA
93,"ACCESS-ESM1-5","ssp245","ensembleMean","2061_2080",NA,NA,405,117,651,NA,184,15,88,9012,1,NA,2778,2,7584,426,NA,4,NA,5061,6786,1108,NA,NA,41,NA,13,NA
94,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2061_2080",NA,NA,3361,32,857,NA,95,26,2433,10306,4,NA,3553,NA,889,15,NA,557,NA,6075,3108,1168,NA,NA,7,NA,24,1766
95,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2061_2080",NA,NA,191,NA,321,2,324,22,NA,7512,NA,NA,1303,5,10779,735,NA,108,NA,5437,6525,884,NA,NA,106,NA,22,NA
96,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2061_2080",2,NA,NA,68,833,NA,NA,NA,288,9840,NA,NA,NA,17,9199,214,NA,NA,NA,2483,3738,6750,NA,NA,NA,234,14,596
97,"CNRM-ESM2-1","ssp245","ensembleMean","2061_2080",NA,2,16367,30,778,4,4971,3373,15,4241,371,NA,2563,23,769,36,NA,60,NA,673,NA,NA,NA,NA,NA,NA,NA,NA
98,"CNRM-ESM2-1","ssp245","r1i1p1f2","2061_2080",NA,2,20176,130,347,45,5050,3591,85,2115,367,NA,1615,NA,NA,NA,NA,343,141,268,NA,NA,1,NA,NA,NA,NA,NA
99,"CNRM-ESM2-1","ssp245","r2i1p1f2","2061_2080",5,NA,7081,338,1705,13,1841,1394,NA,3493,336,NA,NA,177,13649,3236,NA,NA,NA,1005,NA,NA,2,NA,1,NA,NA,NA
100,"CNRM-ESM2-1","ssp245","r3i1p1f2","2061_2080",NA,2,17606,48,304,NA,5724,3445,NA,3346,370,NA,2423,NA,82,1,NA,377,1,526,NA,NA,21,NA,NA,NA,NA,NA
101,"EC-Earth3","ssp245","ensembleMean","2061_2080",NA,NA,16845,1,15,NA,6564,1399,NA,1346,64,NA,52,NA,992,142,NA,435,82,5129,NA,NA,308,NA,902,NA,NA,NA
102,"EC-Earth3","ssp245","r15i1p1f1","2061_2080",NA,NA,13378,1,110,NA,7202,1376,NA,1571,76,NA,49,NA,1017,183,NA,169,7,6446,NA,NA,659,NA,2032,NA,NA,NA
103,"EC-Earth3","ssp245","r1i1p1f1","2061_2080",NA,NA,21967,1,19,NA,5213,1534,NA,1751,79,NA,487,NA,285,8,NA,838,1,2048,NA,NA,45,NA,NA,NA,NA,NA
104,"EC-Earth3","ssp245","r4i1p1f1","2061_2080",NA,NA,8206,5,856,NA,4924,909,24,2945,71,NA,224,6,6183,826,NA,NA,NA,6872,NA,5,701,NA,1519,NA,NA,NA
105,"GFDL-ESM4","ssp245","ensembleMean","2061_2080",1,1,5396,395,2289,NA,2557,855,919,9360,297,NA,715,51,8518,910,NA,NA,NA,1701,242,NA,7,NA,62,NA,NA,NA
106,"GFDL-ESM4","ssp245","r1i1p1f1","2061_2080",NA,3,5842,317,2737,NA,2917,1181,1760,9126,432,NA,570,69,7561,699,NA,NA,NA,754,271,NA,10,NA,27,NA,NA,NA
107,"GFDL-ESM4","ssp245","r2i1p1f1","2061_2080",NA,2,6502,493,2878,NA,2041,572,825,9828,292,NA,1973,32,6967,687,NA,NA,NA,1048,109,NA,NA,NA,27,NA,NA,NA
108,"GFDL-ESM4","ssp245","r3i1p1f1","2061_2080",2,NA,3171,292,1602,NA,2449,755,238,8606,193,NA,359,67,10911,1052,NA,NA,NA,4343,36,NA,60,NA,140,NA,NA,NA
