"index","GCM","SSP","RUN","PERIOD","CDFmm","CDFmm_WA","CMAun","CMAun_WA","CMAunp","CWHdm","CWHdm_WA","CWHds1","CWHmh_OR","CWHmm1","CWHmm2","CWHms1","CWHms2","CWHvh_WA","CWHvh2","CWHvm_WA","CWHvm1","CWHvm2","CWHws2","CWHxm_WA","CWHxm1","CWHxm2","ESSFmw1","ESSFmwp","ESSFmww","MHmm_WA","MHmm1","MHmm2","MHmmp"
75,"GFDL-ESM4","ssp245","ensembleMean","2041_2060",1,NA,NA,41,622,2337,28,117,80,NA,93,38,NA,NA,NA,4,3212,102,NA,NA,134,1735,NA,NA,NA,NA,75,1,NA
76,"GFDL-ESM4","ssp245","r1i1p1f1","2041_2060",NA,NA,NA,35,550,2180,2,92,76,NA,45,23,NA,NA,NA,4,2915,75,NA,NA,50,1094,NA,NA,NA,NA,16,NA,NA
77,"GFDL-ESM4","ssp245","r2i1p1f1","2041_2060",14,NA,NA,45,801,2913,90,212,80,NA,210,112,NA,NA,NA,7,3627,295,NA,NA,406,2376,NA,NA,NA,2,222,3,NA
78,"GFDL-ESM4","ssp245","r3i1p1f1","2041_2060",NA,NA,NA,38,504,1538,35,8,77,NA,63,5,NA,NA,NA,4,2730,46,NA,NA,55,1251,NA,NA,NA,NA,37,NA,NA
79,"GISS-E2-1-G","ssp245","ensembleMean","2041_2060",14,NA,NA,NA,260,7995,117,231,80,NA,77,57,NA,7,NA,NA,5316,22,NA,124,284,2257,NA,NA,NA,NA,47,NA,NA
80,"GISS-E2-1-G","ssp245","r1i1p3f1","2041_2060",NA,NA,NA,NA,444,4935,7,33,80,NA,47,8,NA,5,NA,3,4814,112,NA,16,97,824,NA,NA,NA,NA,28,NA,NA
81,"GISS-E2-1-G","ssp245","r2i1p3f1","2041_2060",31,NA,5,18,128,8167,420,235,80,NA,109,54,NA,NA,NA,13,4799,15,NA,224,815,2889,NA,NA,NA,NA,59,NA,NA
82,"GISS-E2-1-G","ssp245","r3i1p3f1","2041_2060",33,NA,1,NA,188,11735,68,232,80,NA,87,55,NA,15,NA,NA,5507,18,NA,106,667,2191,NA,NA,NA,NA,53,NA,NA
83,"MIROC6","ssp245","ensembleMean","2041_2060",NA,NA,NA,39,567,3533,31,17,80,NA,142,25,NA,NA,NA,4,3676,139,NA,NA,165,1919,NA,NA,NA,NA,75,3,NA
84,"MIROC6","ssp245","r1i1p1f1","2041_2060",NA,NA,NA,17,611,5096,30,37,80,NA,136,68,NA,7,NA,1,4537,255,NA,8,226,1198,NA,NA,NA,NA,83,1,NA
85,"MIROC6","ssp245","r2i1p1f1","2041_2060",NA,NA,NA,35,358,395,1,NA,75,NA,27,4,NA,NA,NA,1,1142,21,NA,NA,13,539,NA,NA,NA,NA,8,NA,NA
86,"MIROC6","ssp245","r3i1p1f1","2041_2060",2,NA,NA,33,608,3462,93,94,80,NA,311,46,NA,NA,NA,12,4232,264,NA,NA,329,2449,NA,NA,NA,NA,179,1,NA
87,"MPI-ESM1-2-HR","ssp245","ensembleMean","2041_2060",9,NA,NA,57,762,3866,171,55,80,NA,370,165,NA,NA,NA,7,3622,354,NA,11,495,1895,NA,NA,NA,2,236,2,NA
88,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2041_2060",22,NA,6,52,626,5764,283,198,80,NA,266,270,NA,NA,NA,18,3831,407,NA,242,587,2424,NA,NA,NA,2,305,7,NA
