"Region","ZoneSubzone","SiteSeries","SiteSeriesName","Standard","StockingTarget","StockingMINpa","StockingMINp","StockingDelay","AssessmentEarliest","AssessmentLatest","Flag","Comment"
"LMH26-Pr Rupert","CWHws2","05","HwBa - Queen's cup","85081",900,500,400,6,11,14,0,
"LMH26-Pr Rupert","CWHws2","06","BaCw - Devil's club","85082",900,500,400,3,8,11,0,
"LMH26-Pr Rupert","CWHws2","07","Ss - Salmonberry","85083",900,500,400,3,8,11,0,
"LMH26-Pr Rupert","CWHws2","08","Act - Red-osier dogwood","85084",900,500,400,3,8,11,0,
"LMH26-Pr Rupert","CWHws2","09","Act - Willow","999",,,,,,,0,
"LMH26-Pr Rupert","CWHws2","10*","Pl - Sphagnum","85085",400,200,200,3,8,11,0,
"LMH26-Pr Rupert","CWHws2","11","CwSs - Skunk cabbage","85086",800,400,400,3,8,11,0,
"LMH26-Pr Rupert","CWHws2","31","Non-forested bog","999",,,,,,,0,
"LMH26-Pr Rupert","CWHws2","32","Non-forested fen/marsh","999",,,,,,,0,
"LMH26-Pr Rupert","CWHws2","51","Avalanche track","999",,,,,,,0,
"LMH26-Pr Rupert","ESSFmc","01","Bl - Huckleberry - Leafy liverwort","85087",1200,700,600,7,15,20,0,
"LMH26-Pr Rupert","ESSFmc","02*","BlPl - Juniper - Cladonia","85088",1000,500,400,7,15,20,0,
"LMH26-Pr Rupert","ESSFmc","03*","Bl - Huckleberry - Crowberry","85089",1000,500,400,7,15,20,0,
"LMH26-Pr Rupert","CWHvh2","01","CwHw - Salal","85019",900,500,400,6,11,14,0,
"LMH26-Pr Rupert","CWHvh2","02*","PlYc - Rhacomitrium","85020",400,200,200,3,8,11,0,
"LMH26-Pr Rupert","CWHvh2","03","CwYc - Salal","85021",800,400,400,6,11,14,0,
"LMH26-Pr Rupert","CWHvh2","04","HwSs - Lanky moss","85022",900,500,400,6,11,14,0,
"LMH26-Pr Rupert","CWHvh2","05","CwSs - Sword fern","85023",900,500,400,3,8,11,0,
"LMH26-Pr Rupert","CWHvh2","06","CwSs - Foamflower","85024",900,500,400,3,8,11,0,
"LMH26-Pr Rupert","CWHvh2","07","CwSs - Devil's club","85025",900,500,400,3,8,11,0,
"LMH26-Pr Rupert","CWHvh2","08","Ss - Lily-of-the-valley","85026",900,500,400,3,8,11,0,
"LMH26-Pr Rupert","CWHvh2","09","Ss - Trisetum","85027",900,500,400,3,8,11,0,
"LMH26-Pr Rupert","CWHvh2","10*","Dr - Lily-of-the-valley","999",,,,,,,0,
"LMH26-Pr Rupert","CWHvh2","11","CwYc - Goldthread","85028",800,400,400,3,8,11,0,
"LMH26-Pr Rupert","CWHvh2","12*","PlYc - Sphagnum","85029",400,200,200,3,8,11,0,
"LMH26-Pr Rupert","CWHvh2","13","CwSs - Skunk cabbage","85030",800,400,400,3,8,11,0,
"LMH26-Pr Rupert","CWHvh2","14*","Ss - Salal","85031",400,200,200,3,8,11,0,
"LMH26-Pr Rupert","CWHvh2","15","Ss - Kindbergia","85032",900,500,400,3,8,11,0,
"LMH26-Pr Rupert","CWHvh2","16*","Ss - Reedgrass","85033",400,200,200,3,8,11,0,
