Region,ZoneSubzone,SS_NoSpace,Species,Suitability,PreferredAcceptable,Standard,FN1,FN2,FN3,FN4,FN5
Nelson,ICHmk1,ICHmk1/04,Sx,2,P,83049,10,13,,,
Nelson,ICHmk1,ICHmk1/04,Bl,3,X,83049,10,13,,,
Nelson,ICHmk1,ICHmk1/04,Cw,3,A,83049,10,13,32,,
Nelson,ICHmk1,ICHmk1/04,Py,3,X,83049,9,14,,,
Nelson,ICHmk1,ICHmk1/05,Act,3,X,83050,901,,,,
Nelson,ICHmk1,ICHmk1/05,At,3,X,83050,901,,,,
Nelson,ICHmk1,ICHmk1/05,Ep,3,X,83050,901,,,,
Nelson,ICHmk1,ICHmk1/05,Pl,1,P,83050,,,,,
Nelson,ICHmk1,ICHmk1/05,Sx,1,P,83050,,,,,
Nelson,ICHmk1,ICHmk1/05,Bl,2,A,83050,,,,,
Nelson,ICHmk1,ICHmk1/05,Fd,2,P,83050,9,14,32,,
Nelson,ICHmk1,ICHmk1/05,Lw,2,A,83050,9,14,32,,
Nelson,ICHmk1,ICHmk1/05,Cw,3,A,83050,32,,,,
Nelson,ICHmk1,ICHmk1/06,Act,3,X,83051,901,,,,
Nelson,ICHmk1,ICHmk1/06,At,3,X,83051,901,,,,
Nelson,ICHmk1,ICHmk1/06,Ep,3,X,83051,901,,,,
Nelson,ICHmk1,ICHmk1/06,Pl,1,P,83051,,,,,
Nelson,ICHmk1,ICHmk1/06,Sx,1,P,83051,,,,,
Nelson,ICHmk1,ICHmk1/06,Bl,2,A,83051,,,,,
Nelson,ICHmk1,ICHmk1/06,Fd,2,P,83051,9,14,32,,
Nelson,ICHmk1,ICHmk1/06,Lw,2,A,83051,9,14,32,,
Nelson,ICHmk1,ICHmk1/06,Cw,3,A,83051,32,,,,
Nelson,ICHmk1,ICHmk1/07,Act,3,X,83052,901,,,,
Nelson,ICHmk1,ICHmk1/07,At,3,X,83052,901,,,,
Nelson,ICHmk1,ICHmk1/07,Ep,3,X,83052,901,,,,
Nelson,ICHmk1,ICHmk1/07,Pl,1,P,83052,1,,,,
Nelson,ICHmk1,ICHmk1/07,Sx,1,P,83052,1,,,,
Nelson,ICHmk1,ICHmk1/07,Bl,2,A,83052,1,,,,
Nelson,ICHmk1,ICHmk1/07,Fd,2,P,83052,1,32,,,
Nelson,ICHmk1,ICHmk1/07,Lw,2,P,83052,1,32,,,
Nelson,ICHmk1,ICHmk1/07,Cw,3,A,83052,32,,,,
Nelson,ICHmw1,ICHmw1/01,At,3,X,83053,901,,,,
Nelson,ICHmw1,ICHmw1/01,Ep,3,X,83053,901,,,,
Nelson,ICHmw1,ICHmw1/01,Fd,1,P,83053,,,,,
Nelson,ICHmw1,ICHmw1/01,Pl,1,P,83053,,,,,
Nelson,ICHmw1,ICHmw1/01,Cw,2,P,83053,,,,,
Nelson,ICHmw1,ICHmw1/01,Pw,2,P,83053,31,49,,,
Nelson,ICHmw1,ICHmw1/01,Sx,2,P,83053,,,,,
Nelson,ICHmw1,ICHmw1/01,Bl,3,X,83053,,,,,
Nelson,ICHmw1,ICHmw1/01,Hw,3,X,83053,,,,,
Nelson,ICHmw1,ICHmw1/01,Lw,3,X,83053,23,,,,
Nelson,ICHmw1,ICHmw1/02,At,3,X,83054,901,,,,
Nelson,ICHmw1,ICHmw1/02,Ep,3,X,83054,901,,,,
Nelson,ICHmw1,ICHmw1/02,Fd,1,P,83054,,,,,
Nelson,ICHmw1,ICHmw1/02,Pl,2,A,83054,49,,,,
Nelson,ICHmw1,ICHmw1/02,Pw,2,P,83054,31,49,,,
Nelson,ICHmw1,ICHmw1/02,Bl,3,X,83054,28,,,,
Nelson,ICHmw1,ICHmw1/02,Cw,3,A,83054,28,,,,
Nelson,ICHmw1,ICHmw1/02,Hw,3,X,83054,28,,,,
Nelson,ICHmw1,ICHmw1/02,Lw,3,X,83054,23,,,,
Nelson,ICHmw1,ICHmw1/02,Sx,3,A,83054,28,,,,
Nelson,ICHmw1,ICHmw1/03,At,3,X,83055,901,,,,
Nelson,ICHmw1,ICHmw1/03,Ep,3,X,83055,901,,,,
Nelson,ICHmw1,ICHmw1/03,Fd,1,P,83055,,,,,
Nelson,ICHmw1,ICHmw1/03,Pl,1,P,83055,,,,,
Nelson,ICHmw1,ICHmw1/03,Bl,2,A,83055,28,,,,
Nelson,ICHmw1,ICHmw1/03,Pw,2,P,83055,31,49,,,
Nelson,ICHmw1,ICHmw1/03,Sx,2,P,83055,10,13,28,,
Nelson,ICHmw1,ICHmw1/03,Cw,3,A,83055,28,,,,
Nelson,ICHmw1,ICHmw1/03,Hw,3,X,83055,28,,,,
Nelson,ICHmw1,ICHmw1/03,Lw,3,X,83055,23,,,,
Nelson,ICHmw1,ICHmw1/04,At,3,X,83056,901,,,,
Nelson,ICHmw1,ICHmw1/04,Ep,3,X,83056,901,,,,
Nelson,ICHmw1,ICHmw1/04,Fd,1,P,83056,,,,,
Nelson,ICHmw1,ICHmw1/04,Pl,1,P,83056,,,,,
Nelson,ICHmw1,ICHmw1/04,Pw,2,P,83056,31,49,,,
Nelson,ICHmw1,ICHmw1/04,Bl,3,A,83056,28,,,,
Nelson,ICHmw1,ICHmw1/04,Cw,3,A,83056,28,,,,
Nelson,ICHmw1,ICHmw1/04,Hw,3,X,83056,28,,,,
Nelson,ICHmw1,ICHmw1/04,Lw,3,X,83056,23,,,,
Nelson,ICHmw1,ICHmw1/04,Pa,3,X,83056,,,,,
Nelson,ICHmw1,ICHmw1/04,Sx,3,A,83056,28,,,,
Nelson,ICHmw1,ICHmw1/05,Act,3,X,83057,901,,,,
Nelson,ICHmw1,ICHmw1/05,At,3,X,83057,901,,,,
Nelson,ICHmw1,ICHmw1/05,Ep,3,X,83057,901,,,,
Nelson,ICHmw1,ICHmw1/05,Cw,1,P,83057,32,,,,
Nelson,ICHmw1,ICHmw1/05,Fd,1,P,83057,1,32,,,
Nelson,ICHmw1,ICHmw1/05,Hw,1,P,83057,32,,,,
Nelson,ICHmw1,ICHmw1/05,Sx,1,P,83057,,,,,
Nelson,ICHmw1,ICHmw1/05,Bl,2,A,83057,,,,,
Nelson,ICHmw1,ICHmw1/05,Pl,2,A,83057,,,,,
Nelson,ICHmw1,ICHmw1/05,Pw,2,P,83057,1,32,49,,
Nelson,ICHmw1,ICHmw1/06,Act,3,X,83058,901,,,,
Nelson,ICHmw1,ICHmw1/06,At,3,X,83058,901,,,,
Nelson,ICHmw1,ICHmw1/06,Ep,3,X,83058,901,,,,
Nelson,ICHmw1,ICHmw1/06,Bl,1,P,83058,,,,,
Nelson,ICHmw1,ICHmw1/06,Cw,1,P,83058,,,,,
Nelson,ICHmw1,ICHmw1/06,Fd,1,P,83058,9,14,,,
Nelson,ICHmw1,ICHmw1/06,Hw,1,P,83058,,,,,
Nelson,ICHmw1,ICHmw1/06,Sx,1,P,83058,,,,,
Nelson,ICHmw1,ICHmw1/06,Pl,2,A,83058,,,,,
Nelson,ICHmw1,ICHmw1/06,Pw,2,P,83058,31,49,,,
Nelson,ICHmw1,ICHmw1/06,Lw,3,X,83058,9,14,23,,
Nelson,ICHmw1,ICHmw1/07,Act,3,X,83059,901,,,,
Nelson,ICHmw1,ICHmw1/07,At,3,X,83059,901,,,,
Nelson,ICHmw1,ICHmw1/07,Ep,3,X,83059,901,,,,
Nelson,ICHmw1,ICHmw1/07,Cw,1,P,83059,32,,,,
Nelson,ICHmw1,ICHmw1/07,Hw,1,P,83059,32,,,,
Nelson,ICHmw1,ICHmw1/07,Sx,1,P,83059,,,,,
Nelson,ICHmw1,ICHmw1/07,Bl,2,A,83059,,,,,
Nelson,ICHmw1,ICHmw1/07,Fd,2,P,83059,1,14,32,,
Nelson,ICHmw1,ICHmw1/07,Pl,2,A,83059,,,,,
Nelson,ICHmw3,ICHmw3/01,Act,3,X,83067,901,,,,
Nelson,ICHmw3,ICHmw3/01,At,3,X,83067,901,,,,
Nelson,ICHmw3,ICHmw3/01,Ep,3,X,83067,901,,,,
Nelson,ICHmw3,ICHmw3/01,Fd,1,P,83067,,,,,
Nelson,ICHmw3,ICHmw3/01,Cw,2,P,83067,10,13,,,
Nelson,ICHmw3,ICHmw3/01,Pl,2,X,83067,,,,,
Nelson,ICHmw3,ICHmw3/01,Sx,2,P,83067,10,13,,,
Nelson,ICHmw3,ICHmw3/01,Bl,3,X,83067,10,13,,,
Nelson,ICHmw3,ICHmw3/01,Hw,3,X,83067,10,13,,,
Nelson,ICHmw3,ICHmw3/01,Lw,3,X,83067,23,,,,
Nelson,ICHmw3,ICHmw3/01,Pw,3,A,83067,31,,,,
Nelson,ICHmw3,ICHmw3/02,Ep,3,X,83069,901,,,,
Nelson,ICHmw3,ICHmw3/02,Fd,1,P,83069,,,,,
Nelson,ICHmw3,ICHmw3/02,Pl,1,A,83069,,,,,
Nelson,ICHmw3,ICHmw3/02,Py,2,A,83069,9,14,23,,
Nelson,ICHmw3,ICHmw3/02,Pw,3,A,83069,31,,,,
Nelson,ICHmw3,ICHmw3/03,At,2,X,83070,53,900,,,
Nelson,ICHmw3,ICHmw3/03,Ep,2,X,83070,53,900,,,
Nelson,ICHmw3,ICHmw3/03,Fd,1,P,83070,32,,,,
Nelson,ICHmw3,ICHmw3/03,Pl,1,A,83070,,,,,
Nelson,ICHmw3,ICHmw3/03,Bl,3,X,83070,10,13,,,
Nelson,ICHmw3,ICHmw3/03,Cw,3,A,83070,10,13,,,
Nelson,ICHmw3,ICHmw3/03,Lw,3,X,83070,23,32,,,
Nelson,ICHmw3,ICHmw3/03,Pw,3,A,83070,31,,,,
Nelson,ICHmw3,ICHmw3/03,Sx,3,A,83070,10,13,,,
Nelson,ICHmw3,ICHmw3/04,At,3,X,83071,901,,,,
Nelson,ICHmw3,ICHmw3/04,Ep,3,X,83071,901,,,,
Nelson,ICHmw3,ICHmw3/04,Fd,1,P,83071,,,,,
Nelson,ICHmw3,ICHmw3/04,Pl,1,A,83071,,,,,
Nelson,ICHmw3,ICHmw3/04,Lw,3,X,83071,23,,,,
Nelson,ICHmw3,ICHmw3/04,Sx,2,P,83071,10,13,,,
Nelson,ICHmw3,ICHmw3/04,Cw,3,A,83071,10,13,,,
Nelson,ICHmw3,ICHmw3/04,Hw,3,X,83071,10,13,,,
Nelson,ICHmw3,ICHmw3/04,Pw,3,A,83071,31,,,,
Nelson,ICHmw3,ICHmw3/05,Act,3,X,83072,901,,,,
Nelson,ICHmw3,ICHmw3/05,At,3,X,83072,901,,,,
Nelson,ICHmw3,ICHmw3/05,Ep,3,X,83072,901,,,,
Nelson,ICHmw3,ICHmw3/05,Fd,1,P,83072,,,,,
Nelson,ICHmw3,ICHmw3/05,Cw,2,P,83072,10,13,,,
Nelson,ICHmw3,ICHmw3/05,Pl,2,X,83072,,,,,
Nelson,ICHmw3,ICHmw3/05,Sx,2,P,83072,10,13,,,
Nelson,ICHmw3,ICHmw3/05,Bl,3,X,83072,10,13,,,
Nelson,ICHmw3,ICHmw3/05,Hw,3,X,83072,10,13,,,
Nelson,ICHmw3,ICHmw3/05,Lw,2,P,83072,9,32,23,,
Nelson,ICHmw3,ICHmw3/05,Pw,3,A,83072,31,,,,
Nelson,ICHmw3,ICHmw3/06,Act,3,X,83073,901,,,,
Nelson,ICHmw3,ICHmw3/06,At,3,X,83073,901,,,,
Nelson,ICHmw3,ICHmw3/06,Ep,3,X,83073,901,,,,
Nelson,ICHmw3,ICHmw3/06,Cw,1,P,83073,,,,,
Nelson,ICHmw3,ICHmw3/06,Fd,1,P,83073,14,,,,
Nelson,ICHmw3,ICHmw3/06,Hw,1,P,83073,,,,,
Nelson,ICHmw3,ICHmw3/06,Sx,1,P,83073,,,,,
Nelson,ICHmw3,ICHmw3/06,Bl,2,A,83073,,,,,
Nelson,ICHmw3,ICHmw3/06,Pl,2,X,83073,,,,,
Nelson,ICHmw3,ICHmw3/06,Lw,3,X,83073,23,,,,
Nelson,ICHmw3,ICHmw3/06,Pw,3,A,83073,31,,,,
Nelson,ICHmw3,ICHmw3/07,Act,3,X,83074,901,,,,
Nelson,ICHmw3,ICHmw3/07,At,3,X,83074,901,,,,
Nelson,ICHmw3,ICHmw3/07,Ep,3,X,83074,901,,,,
Nelson,ICHmw3,ICHmw3/07,Cw,1,P,83074,32,,,,
Nelson,ICHmw3,ICHmw3/07,Sx,1,P,83074,,,,,
Nelson,ICHmw3,ICHmw3/07,Bl,2,A,83074,,,,,
Nelson,ICHmw3,ICHmw3/07,Fd,2,P,83074,1,32,,,
Nelson,ICHmw3,ICHmw3/07,Hw,2,A,83074,32,,,,
Nelson,ICHmw3,ICHmw3/07,Pl,2,X,83074,,,,,
Nelson,ICHmw3,ICHmw3/07,Lw,3,X,83074,1,23,32,,
Nelson,ICHmw3,ICHmw3/07,Pw,3,A,83074,31,,,,
Nelson,ICHmw3,ICHmw3/08,Act,3,X,83075,901,,,,
Nelson,ICHmw3,ICHmw3/08,At,3,X,83075,901,,,,
Nelson,ICHmw3,ICHmw3/08,Ep,3,X,83075,901,,,,
Nelson,ICHmw3,ICHmw3/08,Cw,1,P,83075,1,32,,,
Nelson,ICHmw3,ICHmw3/08,Hw,1,P,83075,1,32,,,
Nelson,ICHmw3,ICHmw3/08,Pl,1,A,83075,1,,,,
Nelson,ICHmw3,ICHmw3/08,Sx,1,P,83075,1,,,,
Nelson,ICHmw3,ICHmw3/08,Bl,2,A,83075,1,,,,
Nelson,ICHvk1,ICHvk1/01,Act,3,X,83076,901,,,,
Nelson,ICHvk1,ICHvk1/01,At,2,X,83076,53,900,,,
Nelson,ICHvk1,ICHvk1/01,Ep,2,X,83076,53,900,,,
Nelson,ICHvk1,ICHvk1/01,Cw,1,P,83076,32,,,,
Nelson,ICHvk1,ICHvk1/01,Sx,1,P,83076,,,,,
Nelson,ICHvk1,ICHvk1/01,Bl,2,A,83076,,,,,
Nelson,ICHvk1,ICHvk1/01,Fd,2,A,83076,1,9,14,32,34
Nelson,ICHvk1,ICHvk1/01,Hw,2,A,83076,32,,,,
Nelson,ICHvk1,ICHvk1/01,Pw,3,A,83076,31,,,,
Nelson,ICHvk1,ICHvk1/03,Act,3,X,83077,901,,,,
Nelson,ICHvk1,ICHvk1/03,At,2,X,83077,53,900,,,
Nelson,ICHvk1,ICHvk1/03,Ep,2,X,83077,53,900,,,
Nelson,ICHvk1,ICHvk1/03,Fd,1,P,83077,9,,,,
Nelson,ICHvk1,ICHvk1/03,Bl,2,A,83077,,,,,
Nelson,ICHvk1,ICHvk1/03,Cw,2,P,83077,,,,,
Nelson,ICHvk1,ICHvk1/03,Hw,2,A,83077,,,,,
Nelson,ICHvk1,ICHvk1/03,Sx,2,P,83077,,,,,
Nelson,ICHvk1,ICHvk1/03,Lw,3,X,83077,9,14,23,,
Nelson,ICHvk1,ICHvk1/03,Pl,3,X,83077,23,34,,,
Nelson,ICHvk1,ICHvk1/03,Pw,3,A,83077,31,,,,
Nelson,ICHvk1,ICHvk1/04,Act,3,X,83078,901,,,,
Nelson,ICHvk1,ICHvk1/04,At,2,X,83078,53,900,,,
Nelson,ICHvk1,ICHvk1/04,Ep,2,X,83078,53,900,,,
Nelson,ICHvk1,ICHvk1/04,Cw,1,P,83078,,,,,
Nelson,ICHvk1,ICHvk1/04,Fd,1,P,83078,9,14,34,,
Nelson,ICHvk1,ICHvk1/04,Hw,1,P,83078,,,,,
Nelson,ICHvk1,ICHvk1/04,Sx,1,P,83078,,,,,
Nelson,ICHvk1,ICHvk1/04,Bl,2,A,83078,,,,,
Nelson,ICHvk1,ICHvk1/04,Lw,3,X,83078,9,14,23,,
Nelson,ICHvk1,ICHvk1/04,Pw,3,A,83078,31,,,,
Nelson,ICHvk1,ICHvk1/05,Act,3,X,83079,901,,,,
Nelson,ICHvk1,ICHvk1/05,At,3,X,83079,901,,,,
Nelson,ICHvk1,ICHvk1/05,Ep,3,X,83079,901,,,,
Nelson,ICHvk1,ICHvk1/05,Cw,1,P,83079,1,32,,,
Nelson,ICHvk1,ICHvk1/05,Sx,1,P,83079,1,,,,
Nelson,ICHvk1,ICHvk1/05,Bl,2,A,83079,1,,,,
Nelson,ICHvk1,ICHvk1/05,Hw,2,A,83079,1,32,,,
Nelson,ICHvk1,ICHvk1/05,Pw,3,A,83079,1,31,,,
Nelson,ICHvk1,ICHvk1/06,Act,3,X,83080,901,,,,
Nelson,ICHvk1,ICHvk1/06,At,3,X,83080,901,,,,
Nelson,ICHvk1,ICHvk1/06,Ep,3,X,83080,901,,,,
Nelson,ICHvk1,ICHvk1/06,Cw,1,P,83080,1,32,,,
Nelson,ICHvk1,ICHvk1/06,Hw,1,P,83080,1,32,,,
Nelson,ICHvk1,ICHvk1/06,Sx,1,P,83080,1,,,,
Nelson,ICHvk1,ICHvk1/06,Bl,2,A,83080,1,,,,
Nelson,ICHvk1,ICHvk1/06,Pl,3,X,83080,23,34,,,
Nelson,ICHvk1,ICHvk1/06,Pw,3,A,83080,1,31,,,
Nelson,ICHwk1,ICHwk1/01,Act,3,X,83081,901,,,,
Nelson,ICHwk1,ICHwk1/01,At,3,X,83081,901,,,,
Nelson,ICHwk1,ICHwk1/01,Ep,3,X,83081,901,,,,
Nelson,ICHwk1,ICHwk1/01,Cw,1,P,83081,,,,,
Nelson,ICHwk1,ICHwk1/01,Fd,1,P,83081,9,14,,,
Nelson,ICHwk1,ICHwk1/01,Hw,1,P,83081,,,,,
Nelson,ICHwk1,ICHwk1/01,Sx,1,P,83081,,,,,
Nelson,ICHwk1,ICHwk1/01,Bl,2,A,83081,10,13,,,
Nelson,ICHwk1,ICHwk1/01,Lw,3,X,83081,9,14,23,32,
Nelson,ICHwk1,ICHwk1/01,Pl,3,X,83081,23,34,,,
Nelson,ICHwk1,ICHwk1/01,Pw,3,A,83081,31,,,,
Nelson,ICHwk1,ICHwk1/04,Act,3,X,83082,901,,,,
Nelson,ICHwk1,ICHwk1/04,At,3,X,83082,901,,,,
Nelson,ICHwk1,ICHwk1/04,Ep,3,X,83082,901,,,,
Nelson,ICHwk1,ICHwk1/04,Fd,1,P,83082,9,14,,,
Nelson,ICHwk1,ICHwk1/04,Cw,2,P,83082,,,,,
Nelson,ICHwk1,ICHwk1/04,Hw,2,A,83082,,,,,
Nelson,ICHwk1,ICHwk1/04,Sx,2,P,83082,10,13,,,
Nelson,ICHwk1,ICHwk1/04,Bl,3,X,83082,10,13,,,
Nelson,ICHwk1,ICHwk1/04,Lw,3,X,83082,9,14,23,,
Nelson,ICHwk1,ICHwk1/04,Pl,3,X,83082,23,34,,,
Nelson,ICHwk1,ICHwk1/04,Pw,3,A,83082,31,,,,
Nelson,ICHwk1,ICHwk1/05,Act,3,X,83083,901,,,,
Nelson,ICHwk1,ICHwk1/05,At,3,X,83083,901,,,,
Nelson,ICHwk1,ICHwk1/05,Ep,3,X,83083,901,,,,
Nelson,ICHwk1,ICHwk1/05,Cw,1,P,83083,32,,,,
Nelson,ICHwk1,ICHwk1/05,Sx,1,P,83083,,,,,
Nelson,ICHwk1,ICHwk1/05,Bl,2,A,83083,,,,,
Nelson,ICHwk1,ICHwk1/05,Fd,2,A,83083,1,9,14,32,
Nelson,ICHwk1,ICHwk1/05,Hw,2,A,83083,32,,,,
Nelson,ICHwk1,ICHwk1/05,Lw,3,X,83083,1,14,23,32,
Nelson,ICHwk1,ICHwk1/05,Pl,3,X,83083,23,34,,,
Nelson,ICHwk1,ICHwk1/05,Pw,3,A,83083,31,,,,
Nelson,ICHwk1,ICHwk1/06,Act,3,X,83084,901,,,,
Nelson,ICHwk1,ICHwk1/06,At,3,X,83084,901,,,,
Nelson,ICHwk1,ICHwk1/06,Ep,3,X,83084,901,,,,
Nelson,ICHwk1,ICHwk1/06,Cw,1,P,83084,1,32,,,
Nelson,ICHwk1,ICHwk1/06,Sx,1,P,83084,1,,,,
Nelson,ICHwk1,ICHwk1/06,Bl,2,A,83084,1,,,,
Nelson,ICHwk1,ICHwk1/06,Hw,2,A,83084,1,32,,,
Nelson,ICHwk1,ICHwk1/06,Pl,3,X,83084,1,23,34,,
Nelson,ICHwk1,ICHwk1/06,Pw,3,A,83084,1,31,,,
Nelson,ICHwk1,ICHwk1/07,Act,3,X,83085,901,,,,
Nelson,ICHwk1,ICHwk1/07,At,3,X,83085,901,,,,
Nelson,ICHwk1,ICHwk1/07,Ep,3,X,83085,901,,,,
Nelson,ICHwk1,ICHwk1/07,Cw,1,P,83085,1,32,,,
Nelson,ICHwk1,ICHwk1/07,Sx,1,P,83085,1,,,,
Nelson,ICHwk1,ICHwk1/07,Bl,2,A,83085,1,,,,
Nelson,ICHwk1,ICHwk1/07,Hw,2,A,83085,1,32,,,
Nelson,ICHwk1,ICHwk1/07,Pw,3,A,83085,1,31,,,
Nelson,ICHwk1,ICHwk1/08,Act,3,X,83086,901,,,,
Nelson,ICHwk1,ICHwk1/08,At,3,X,83086,901,,,,
Nelson,ICHwk1,ICHwk1/08,Ep,3,X,83086,901,,,,
Nelson,ICHwk1,ICHwk1/08,Cw,1,P,83086,1,32,,,
Nelson,ICHwk1,ICHwk1/08,Hw,1,P,83086,1,32,,,
Nelson,ICHwk1,ICHwk1/08,Sx,1,P,83086,1,,,,
Nelson,ICHwk1,ICHwk1/08,Bl,2,A,83086,1,,,,
Nelson,ICHwk1,ICHwk1/08,Pl,3,X,83086,23,34,,,
Nelson,IDFdm1,IDFdm1/01,At,3,X,83093,901,,,,
Nelson,IDFdm1,IDFdm1/01,Ep,3,X,83093,901,,,,
Nelson,IDFdm1,IDFdm1/01,Fd,1,P,83093,32,,,,
Nelson,IDFdm1,IDFdm1/01,Lw,1,P,83093,32,,,,
Nelson,IDFdm1,IDFdm1/01,Pl,2,A,83093,10,13,,,
Nelson,IDFdm1,IDFdm1/01,Py,2,A,83093,9,14,,,
Nelson,IDFdm1,IDFdm1/03,Fd,1,P,83094,27,,,,
Nelson,IDFdm1,IDFdm1/03,Py,1,P,83094,,,,,
Nelson,IDFdm1,IDFdm1/03,Pl,3,A,83094,,,,,
Nelson,IDFdm1,IDFdm1/04,At,3,X,83095,901,,,,
Nelson,IDFdm1,IDFdm1/04,Fd,1,P,83095,32,,,,
Nelson,IDFdm1,IDFdm1/04,Lw,1,P,83095,32,,,,
Nelson,IDFdm1,IDFdm1/04,Py,1,P,83095,,,,,
Nelson,IDFdm1,IDFdm1/04,Pl,2,A,83095,10,13,,,
Nelson,IDFdm1,IDFdm1/05,At,3,X,83096,901,,,,
Nelson,IDFdm1,IDFdm1/05,Ep,2,X,83096,53,900,,,
Nelson,IDFdm1,IDFdm1/05,Fd,1,P,83096,32,,,,
Nelson,IDFdm1,IDFdm1/05,Lw,1,P,83096,32,,,,
Nelson,IDFdm1,IDFdm1/05,Pl,1,P,83096,,,,,
Nelson,IDFdm1,IDFdm1/05,Sx,2,P,83096,10,13,,,
Nelson,IDFdm1,IDFdm1/05,Py,3,X,83096,9,14,,,
Nelson,IDFdm1,IDFdm1/06,Act,3,X,83097,901,,,,
Nelson,IDFdm1,IDFdm1/06,At,3,X,83097,901,,,,
Nelson,IDFdm1,IDFdm1/06,Ep,3,X,83097,901,,,,
Nelson,IDFdm1,IDFdm1/06,Fd,1,P,83097,32,,,,
Nelson,IDFdm1,IDFdm1/06,Lw,1,P,83097,32,,,,
Nelson,IDFdm1,IDFdm1/06,Sx,1,P,83097,,,,,
Nelson,IDFdm1,IDFdm1/06,Pl,2,X,83097,,,,,
Nelson,IDFdm1,IDFdm1/07,Act,3,X,83098,901,,,,
Nelson,IDFdm1,IDFdm1/07,At,3,X,83098,901,,,,
Nelson,IDFdm1,IDFdm1/07,Ep,3,X,83098,901,,,,
Nelson,IDFdm1,IDFdm1/07,Pl,1,P,83098,1,,,,
Nelson,IDFdm1,IDFdm1/07,Sx,1,P,83098,1,,,,
Nelson,IDFdm1,IDFdm1/07,Fd,2,P,83098,1,32,,,
Nelson,IDFdm1,IDFdm1/07,Lw,2,P,83098,1,32,,,
Nelson,IDFdm1,IDFdm1/07,Bl,3,X,83098,1,,,,
Nelson,IDFdm2,IDFdm2/01,At,3,X,83099,901,,,,
Nelson,IDFdm2,IDFdm2/01,Ep,3,X,83099,901,,,,
Nelson,IDFdm2,IDFdm2/01,Fd,1,P,83099,32,,,,
Nelson,IDFdm2,IDFdm2/01,Lw,1,P,83099,32,,,,
Nelson,IDFdm2,IDFdm2/01,Py,1,P,83099,,,,,
Nelson,IDFdm2,IDFdm2/01,Pl,2,A,83099,10,13,,,
Nelson,IDFdm2,IDFdm2/03,At,3,X,83100,901,,,,
Nelson,IDFdm2,IDFdm2/03,Fd,1,P,83100,27,,,,
Nelson,IDFdm2,IDFdm2/03,Py,1,P,83100,,,,,
Nelson,IDFdm2,IDFdm2/03,Lw,2,P,83100,10,13,,,
Nelson,IDFdm2,IDFdm2/03,Pl,3,X,83100,10,13,,,
Nelson,IDFdm2,IDFdm2/04,At,3,X,83101,901,,,,
Nelson,IDFdm2,IDFdm2/04,Ep,3,X,83101,901,,,,
Nelson,IDFdm2,IDFdm2/04,Fd,1,P,83101,32,,,,
Nelson,IDFdm2,IDFdm2/04,Lw,1,P,83101,32,,,,
Nelson,IDFdm2,IDFdm2/04,Pl,1,P,83101,,,,,
Nelson,IDFdm2,IDFdm2/04,Sx,2,P,83101,,,,,
Nelson,IDFdm2,IDFdm2/04,Py,3,X,83101,9,14,,,
Nelson,IDFdm2,IDFdm2/05,Act,3,X,83102,901,,,,
Nelson,IDFdm2,IDFdm2/05,At,3,X,83102,901,,,,
Nelson,IDFdm2,IDFdm2/05,Ep,3,X,83102,901,,,,
Nelson,IDFdm2,IDFdm2/05,Pl,1,P,83102,,,,,
Nelson,IDFdm2,IDFdm2/05,Sx,1,P,83102,,,,,
Nelson,IDFdm2,IDFdm2/05,Fd,2,P,83102,1,32,,,
Nelson,IDFdm2,IDFdm2/05,Lw,2,P,83102,1,32,,,
Nelson,IDFdm2,IDFdm2/07,Act,3,X,83103,901,,,,
Nelson,IDFdm2,IDFdm2/07,Ep,3,X,83103,901,,,,
Nelson,IDFdm2,IDFdm2/07,Sx,1,P,83103,1,,,,
Nelson,IDFdm2,IDFdm2/07,Fd,2,P,83103,1,32,,,
Nelson,IDFdm2,IDFdm2/07,Lw,2,P,83103,1,32,,,
Nelson,IDFdm2,IDFdm2/07,Pl,2,A,83103,1,,,,
Nelson,IDFxh1,IDFxh1/01,Fd,1,P,83104,27,,,,
Nelson,IDFxh1,IDFxh1/01,Py,1,P,83104,,,,,
Nelson,IDFxh1,IDFxh1/01,Lw,3,A,83104,10,,,,
Nelson,IDFxh1,IDFxh1/02,Py,1,P,83105,27,,,,
Nelson,IDFxh1,IDFxh1/02,Fd,2,P,83105,27,,,,
Nelson,IDFxh1,IDFxh1/03,Py,1,P,83106,,,,,
Nelson,IDFxh1,IDFxh1/03,Fd,2,P,83106,27,,,,
Nelson,IDFxh1,IDFxh1/04,Py,1,P,83107,,,,,
Nelson,IDFxh1,IDFxh1/04,Fd,2,P,83107,27,,,,
Nelson,IDFxh1,IDFxh1/05,Py,1,P,83108,,,,,
Nelson,IDFxh1,IDFxh1/05,Fd,2,P,83108,27,,,,
Nelson,IDFxh1,IDFxh1/06,Fd,1,P,83109,27,,,,
Nelson,IDFxh1,IDFxh1/06,Py,1,P,83109,,,,,
Nelson,IDFxh1,IDFxh1/06,Lw,2,P,83109,10,,,,
Nelson,IDFxh1,IDFxh1/07,Fd,1,P,83110,,,,,
Nelson,IDFxh1,IDFxh1/07,Py,1,P,83110,,,,,
Nelson,IDFxh1,IDFxh1/07,Lw,2,P,83110,10,,,,
Nelson,IDFxh1,IDFxh1/08,Act,3,X,83111,901,,,,
Nelson,IDFxh1,IDFxh1/08,At,3,X,83111,901,,,,
