"index","GCM","SSP","RUN","PERIOD","BAFAun","BGxh2","BGxh3","BGxw1","BGxw2","ESSFdk2","ESSFdkp","ESSFdkw","ESSFmc","ESSFmv1","ESSFwc2","ESSFwc3","ESSFwcp","ESSFwcw","ESSFwk1","ESSFwv","ESSFwvp","ESSFwvw","ESSFxc2","ESSFxc3","ESSFxcp","ESSFxv1","ICHdk","ICHmc1","ICHmk3","ICHmw3","ICHwk2","IDFdk1","IDFdk3","IDFdk4","IDFmw2","IDFxh2","IDFxm","IDFxw","IMAun","IMAun_CO","MSabN","MSdc2","MSxk2","MSxk3","MSxv","PPxh2","SBAPfp","SBPSmk","SBPSxc","SBSdk","SBSdw1","SBSdw2","SBSmc1","SBSmc2","SBSmc3","SBSmk1","SBSmm","SBSmw","SBSwk1","BGmk_MT","ESSFdc2","ESSFdcw","ESSFmv3","ESSFwm1","ESSFwmp","ESSFxcw","ESSFxk_WY","ICHmk1","ICHmk4","IDFdkx_MT","IDFxm_CO","IMAab","IWFdm_CO","MGPmg","MGPmw_MT","MSdh_WY","MSdk","MSdm1","PPxh1","SBPSdc","SBPSmc","BGxh1","ESSFdc1","ESSFwc4","ESSFwh1","ESSFxc1","ICHdw3","ICHmw5","IDFdh_UT","IDFdk2","JPWdw_UT","MSdw","MSxk1","SBSmh","BGdw_WA","BGxh_WA","ESSFdk1","ESSFmh","ESSFwmw","ICHxm1","IDFdk5","IDFdm_WA","IDFdm1","IDFdm2","IDFxk","JPWdm_WY","MGPdm","ESSFabS","ICHmc2","IDFdh","IDFdk_MT","IDFdx_MT","IDFxh1","IDFxx2","MSdm_WA","MSdm2","ICHmk2","ICHwk4","SBSvk","ESSFabC","ESSFwk2","ICHvk2","IMAun_WY","SBSwk3","ICHmw2","BWBSdk","BWBSdmN","BWBSmw","BWBSuf","ESSFabN","ESSFmv2","SBSdw3","BWBScmW","BWBSlf","BWBSwk1","FGnf","SBAPcp","SWBmk","ESSFmmp","SBSwk2","ESSFxvp","CWHws2","IDFdm_MT","MSxm_CO","ICHdw4","ICHwk1","PPxw_MT","PPxh_CO","GOun_CO","MHmmp","ESSFwh3","MSdw_MT","ICHwk3","ESSFwh2","ESSFwm2","ICHdm","SGPdm_CO","BGmw_WA","GBDxx_UT","ICHdw_ID","ICHdw1","IDFxx1","PPxh_WA","SBSdh1","ESSFwm_MT","ESSFwm4","ESSFxh_WA","ICHxw","ICHxw_WA","IMAun_MT","JPWxw_NV","ESSFwm3","ICHmw4","ICHmh_MT","MSxx_NV","ICHvk1","ICHvc","ESSFdk_MT","ICHxwa","IDFdh_WA","IDFxh_WA","PPmx_WY","IDFdh_MT","MHmm2","IGFxm_OR","CWHms1","IDFxx_MT","PPxw_WY","IGFmm_OR","JPWwm_CO","IDFxc","CWHwm"
44,"EC-Earth3","ssp245","r4i1p1f1","2021_2040",NA,70,29,5,NA,2,NA,NA,NA,NA,NA,183,15,40,1186,NA,NA,NA,2,NA,NA,NA,NA,92,8,NA,2417,5182,86,NA,2,13458,44,375,NA,NA,3,NA,330,26,1,129,3788,136,NA,NA,224,NA,14,NA,NA,NA,NA,NA,1,304,27,NA,NA,NA,NA,51,NA,991,1189,1234,243,NA,NA,17456,710,NA,9,1354,400,NA,NA,180,NA,NA,NA,322,15,15,NA,2300,17,161,307,218,NA,NA,NA,NA,NA,5161,NA,NA,27,201,NA,NA,2,NA,3,NA,NA,3769,187,NA,NA,NA,NA,136,NA,NA,NA,NA,NA,NA,134,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,NA,10,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,"GFDL-ESM4","ssp245","ensembleMean","2021_2040",NA,266,380,14,NA,NA,NA,NA,NA,NA,NA,67,32,105,946,NA,NA,NA,114,22,NA,NA,NA,NA,159,NA,6751,4383,2753,NA,5190,4350,288,17653,NA,NA,NA,NA,562,328,21,224,459,596,5,8,2273,7,268,278,4,NA,1,NA,11,NA,111,64,NA,NA,NA,20,NA,2437,81,NA,249,NA,66,429,45,NA,NA,204,24,NA,NA,77,2,228,123,38,22,64,30,9898,15,NA,114,332,NA,NA,NA,37,NA,1396,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,13,8,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"GFDL-ESM4","ssp245","r1i1p1f1","2021_2040",1,296,355,35,NA,1,1,19,NA,NA,NA,18,21,64,894,NA,1,NA,202,17,NA,NA,NA,NA,22,NA,4836,6391,3081,NA,848,7425,795,13969,NA,NA,NA,NA,785,197,8,173,1070,661,12,10,1245,38,217,115,4,NA,NA,NA,21,NA,201,102,NA,10,NA,48,NA,3621,463,333,394,NA,21,4272,130,NA,NA,563,37,7,NA,79,1,174,29,138,NA,21,11,8625,12,35,106,72,NA,NA,NA,14,NA,1502,NA,NA,NA,5,NA,NA,NA,1,NA,NA,NA,149,11,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,"GFDL-ESM4","ssp245","r2i1p1f1","2021_2040",NA,325,485,4,83,NA,NA,NA,5,NA,NA,237,33,141,1050,NA,NA,NA,15,52,NA,NA,16,25,267,1,6711,1854,5971,NA,12004,1523,217,23792,NA,NA,NA,NA,270,402,7,162,11,577,9,271,5625,7,317,692,17,NA,61,NA,416,NA,2,8,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,25,42,5,NA,NA,11,NA,NA,NA,2,3,223,54,NA,344,16,13,278,44,NA,6,223,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,"GFDL-ESM4","ssp245","r3i1p1f1","2021_2040",NA,102,149,9,NA,2,NA,2,NA,NA,NA,31,43,81,992,NA,NA,NA,156,28,NA,NA,NA,NA,7,NA,2768,4109,671,NA,1225,12291,NA,6583,NA,NA,NA,NA,386,186,35,197,386,283,NA,NA,262,NA,198,124,NA,NA,NA,NA,NA,NA,195,40,NA,NA,NA,9,NA,6562,176,NA,332,NA,27,644,39,NA,NA,744,207,NA,NA,131,NA,64,202,136,NA,476,125,13937,49,3,366,2,NA,NA,NA,46,NA,6918,NA,NA,268,NA,NA,NA,NA,4,NA,NA,NA,72,236,NA,NA,125,NA,NA,NA,NA,NA,NA,NA,NA,1548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,44,1,NA,NA,5,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,"GISS-E2-1-G","ssp245","ensembleMean","2021_2040",NA,190,235,1,2,NA,NA,NA,16,143,NA,314,35,30,1286,NA,NA,NA,63,NA,NA,NA,NA,47,90,388,11307,27,2920,NA,10978,723,8698,9811,NA,NA,283,NA,132,2,NA,341,69,43,NA,174,4568,1342,47,734,NA,NA,NA,72,305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,206,NA,32,1,1,NA,NA,NA,121,NA,NA,7,NA,NA,NA,NA,3557,NA,15,611,47,NA,NA,3826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,311,NA,NA,NA,2,NA,NA,NA,435,412,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"GISS-E2-1-G","ssp245","r1i1p3f1","2021_2040",NA,212,348,3,3,NA,NA,NA,4,15,NA,238,12,40,1139,1,NA,NA,NA,5,NA,NA,NA,336,748,294,6000,545,3684,NA,10185,3014,8403,10841,NA,NA,54,NA,102,76,NA,320,509,105,NA,82,4611,617,56,614,NA,2,NA,19,73,NA,21,NA,NA,NA,NA,78,NA,NA,NA,NA,14,NA,NA,476,29,NA,2,1,60,NA,NA,136,NA,1,17,22,2991,33,NA,1963,8,NA,7,5058,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,NA,NA,13,NA,NA,39,253,193,NA,NA,NA,NA,NA,NA,168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,"GISS-E2-1-G","ssp245","r2i1p3f1","2021_2040",NA,61,180,NA,NA,NA,NA,NA,5,168,NA,372,52,40,1414,5,NA,NA,105,NA,NA,NA,NA,18,52,32,12434,19,4875,NA,3884,689,10819,5022,NA,NA,355,NA,114,NA,NA,326,117,35,NA,94,7701,1653,285,835,NA,NA,NA,40,213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,NA,74,1,21,NA,NA,NA,261,NA,NA,21,NA,5,NA,1,1846,NA,NA,793,4,NA,NA,7024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,951,NA,NA,NA,10,NA,NA,NA,189,644,NA,NA,NA,NA,NA,NA,NA,2,NA,94,82,2,NA,NA,NA,NA,NA,204,723,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,47,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,"GISS-E2-1-G","ssp245","r3i1p3f1","2021_2040",NA,326,372,NA,62,NA,NA,NA,NA,159,12,369,53,25,1217,2,NA,NA,84,NA,NA,NA,NA,279,47,484,8061,5,5053,NA,12223,110,9194,9839,NA,NA,481,NA,36,1,NA,235,346,20,NA,530,5580,1922,13,856,NA,37,NA,661,416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,17,NA,NA,NA,5,NA,NA,NA,NA,NA,4,NA,2951,NA,34,25,49,NA,NA,2147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,NA,NA,NA,NA,NA,NA,NA,138,20,353,NA,2,34,NA,3,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,"MIROC6","ssp245","ensembleMean","2021_2040",NA,152,241,4,NA,NA,NA,NA,NA,6,NA,250,34,36,1200,2,NA,NA,2,17,NA,NA,NA,656,186,18,4972,783,3606,NA,4696,4078,8808,8894,NA,NA,52,NA,384,125,NA,300,1145,295,NA,27,5213,726,109,263,NA,NA,NA,1,43,NA,7,NA,NA,NA,NA,99,NA,18,NA,NA,332,NA,NA,1234,105,NA,NA,95,167,NA,NA,137,NA,NA,4,141,872,84,NA,4992,6,NA,76,7784,NA,NA,NA,NA,NA,239,NA,NA,NA,NA,NA,NA,NA,NA,304,NA,NA,6,19,NA,NA,54,145,168,NA,NA,NA,NA,NA,NA,432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,5,NA,172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,"MIROC6","ssp245","r1i1p1f1","2021_2040",NA,188,202,1,2,NA,NA,NA,12,121,NA,406,95,1,1295,2,1,NA,204,1,NA,NA,NA,309,30,131,10095,53,2549,NA,9712,595,8358,10125,NA,NA,346,NA,303,16,NA,347,95,31,NA,207,5671,1468,66,659,NA,NA,NA,123,314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,535,NA,71,12,25,NA,NA,NA,149,NA,NA,3,NA,NA,NA,NA,1631,NA,NA,714,17,NA,1,5995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1050,NA,NA,NA,1,NA,NA,NA,308,369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,"MIROC6","ssp245","r2i1p1f1","2021_2040",NA,170,170,10,NA,NA,NA,NA,NA,NA,NA,163,10,33,1077,NA,NA,NA,NA,11,NA,NA,NA,188,286,NA,4120,1782,731,NA,2316,12558,4990,6132,NA,NA,10,1,361,77,NA,276,1198,325,NA,NA,2337,178,52,5,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,34,NA,225,2,NA,1365,NA,NA,2813,230,NA,NA,53,209,NA,NA,203,NA,NA,8,302,520,484,23,8408,16,NA,182,3694,NA,NA,NA,NA,NA,4740,NA,NA,NA,10,NA,NA,NA,NA,45,NA,NA,107,60,NA,NA,60,2,163,NA,NA,NA,NA,NA,NA,1195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,7,NA,229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,"MIROC6","ssp245","r3i1p1f1","2021_2040",NA,122,171,8,NA,NA,NA,NA,NA,NA,NA,196,31,51,1230,3,NA,NA,2,10,NA,NA,NA,132,184,NA,3707,3075,1229,NA,2489,10598,4279,5423,NA,NA,7,4,392,105,NA,261,1927,239,NA,7,3577,352,115,196,NA,NA,NA,NA,5,NA,13,NA,NA,NA,NA,115,NA,525,153,NA,62,NA,NA,3895,178,NA,NA,148,190,NA,NA,208,NA,7,41,314,226,502,NA,9585,4,1,250,2810,NA,NA,NA,3,NA,4000,NA,NA,NA,73,NA,NA,NA,NA,270,NA,NA,16,85,NA,NA,84,10,30,NA,NA,NA,NA,NA,NA,972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,152,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,"MPI-ESM1-2-HR","ssp245","ensembleMean","2021_2040",NA,321,508,3,1298,NA,NA,NA,25,10,NA,279,17,108,1156,7,NA,NA,9,49,NA,NA,NA,147,655,4,2577,3681,9008,NA,6114,2720,2508,21510,NA,NA,NA,NA,163,384,5,201,49,358,NA,840,4787,618,57,956,14,NA,1,3,910,NA,NA,NA,NA,NA,NA,NA,NA,41,71,NA,NA,NA,1,16,NA,NA,24,17,1,NA,3,29,NA,6,21,3,152,148,NA,1910,10,NA,6,403,NA,NA,NA,23,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,NA,NA,NA,NA,NA,NA,NA,51,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2021_2040",NA,399,761,NA,5232,33,NA,26,3,NA,NA,NA,NA,5,196,NA,NA,NA,21,43,NA,NA,NA,NA,NA,NA,442,6512,3600,48,293,13980,13968,6915,1,NA,NA,NA,114,274,12,386,NA,313,54,1669,521,467,1,773,8,369,NA,NA,764,NA,13,7,NA,692,42,NA,NA,28,741,NA,NA,NA,NA,NA,NA,NA,380,17,NA,NA,192,7,47,26,1,NA,1,741,NA,383,44,801,NA,389,NA,NA,1,167,289,NA,1428,NA,NA,9,322,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,20,20,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2021_2040",NA,199,366,2,8,NA,NA,NA,58,157,NA,416,33,79,1328,5,NA,NA,NA,14,NA,NA,NA,67,954,13,7362,775,12378,NA,5329,1228,3592,14042,NA,NA,269,NA,250,212,NA,279,751,256,NA,96,7608,542,340,852,NA,NA,NA,9,74,NA,7,NA,NA,NA,NA,4,NA,NA,NA,NA,12,NA,NA,5,1,NA,NA,NA,35,NA,NA,51,NA,NA,NA,4,673,NA,NA,1748,NA,NA,9,2309,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,2,NA,NA,9,125,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,"MRI-ESM2-0","ssp245","ensembleMean","2021_2040",NA,17,8,2,NA,NA,NA,NA,43,25,NA,159,20,14,915,NA,NA,NA,4,NA,NA,NA,NA,900,3,NA,2623,74,301,NA,2268,2739,9755,144,NA,NA,NA,12,8,NA,1,211,3349,110,NA,1,2671,679,278,275,NA,NA,NA,10,2,NA,13,NA,NA,1,NA,NA,NA,61,1344,NA,13,NA,NA,7747,514,NA,NA,35,303,NA,NA,122,NA,54,243,4,2080,20,NA,1844,34,65,NA,17483,NA,NA,NA,NA,NA,2777,NA,NA,NA,746,NA,NA,NA,NA,975,NA,NA,8,77,NA,NA,3,99,6,NA,NA,NA,NA,NA,NA,544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158,52,6,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,"MRI-ESM2-0","ssp245","r1i1p1f1","2021_2040",NA,17,8,2,NA,NA,NA,NA,43,25,NA,159,20,14,915,NA,NA,NA,4,NA,NA,NA,NA,900,3,NA,2623,74,301,NA,2268,2739,9755,144,NA,NA,NA,12,8,NA,1,211,3349,110,NA,1,2671,679,278,275,NA,NA,NA,10,2,NA,13,NA,NA,1,NA,NA,NA,61,1344,NA,13,NA,NA,7747,514,NA,NA,35,303,NA,NA,122,NA,54,243,4,2080,20,NA,1844,34,65,NA,17483,NA,NA,NA,NA,NA,2777,NA,NA,NA,746,NA,NA,NA,NA,975,NA,NA,8,77,NA,NA,3,99,6,NA,NA,NA,NA,NA,NA,544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158,52,6,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,"ensembleMean","ssp245","ensembleMean","2021_2040",NA,217,300,9,3,NA,NA,NA,NA,3,NA,216,21,40,1131,NA,NA,NA,NA,14,NA,NA,12,42,619,2,6835,1372,3227,NA,7752,4227,7113,11640,NA,NA,5,NA,295,104,NA,285,986,275,NA,7,3345,321,179,390,NA,NA,NA,NA,34,NA,27,NA,NA,NA,NA,83,NA,55,25,NA,2,NA,NA,1412,131,NA,6,41,48,NA,NA,136,NA,36,48,91,1007,171,NA,5837,12,NA,40,3826,NA,NA,NA,NA,NA,342,NA,NA,NA,5,NA,NA,NA,NA,19,NA,NA,2,12,NA,NA,60,39,28,NA,NA,NA,NA,NA,NA,481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,"ACCESS-ESM1-5","ssp245","ensembleMean","2041_2060",NA,18,74,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,85,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,382,1284,1,NA,7309,12927,14,29,NA,NA,NA,NA,25,NA,NA,33,3,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,82,NA,NA,NA,157,2488,9,NA,NA,3,2407,2560,NA,NA,282,261,NA,NA,114,NA,51,129,1,NA,408,9479,88,691,341,69,15,NA,36,NA,NA,NA,2346,176,NA,445,10790,6,NA,16,NA,NA,4,NA,109,2993,251,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1197,41,3537,NA,149,NA,25,NA,NA,NA,NA,NA,NA,14,16,3,208,7,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2041_2060",NA,142,555,6,43,NA,NA,NA,NA,NA,NA,NA,NA,1,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,189,882,320,NA,22799,18056,1195,3,NA,NA,NA,NA,4,NA,NA,1356,9,NA,NA,90,104,6,NA,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,8,583,NA,NA,NA,NA,276,440,NA,NA,2,43,NA,NA,177,NA,20,210,NA,366,224,353,1162,501,5,5,305,NA,2,NA,NA,NA,6870,92,NA,NA,699,NA,NA,NA,NA,295,NA,NA,NA,622,NA,NA,66,16,NA,NA,NA,NA,NA,NA,NA,2770,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1959,884,32,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,27,NA,2,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2041_2060",NA,1,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,643,NA,NA,432,3267,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,24,NA,NA,20,NA,NA,NA,330,2232,NA,NA,NA,19,37,7,NA,NA,372,197,NA,NA,70,1,10,71,NA,NA,432,22998,119,864,218,28,NA,NA,21,7,NA,NA,1138,1,4,2788,9583,1,NA,NA,1,NA,220,NA,1997,4430,709,34,48,NA,NA,NA,NA,NA,NA,NA,NA,865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102,NA,766,3,2230,NA,4850,NA,105,1,NA,NA,NA,NA,NA,100,9,187,2041,146,37,NA,5,1,3,83,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2041_2060",NA,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,956,NA,NA,225,6590,NA,5,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,15,NA,NA,5,NA,NA,NA,577,1841,20,NA,NA,NA,290,304,NA,NA,371,434,NA,NA,221,1,26,99,NA,NA,509,14980,136,546,106,91,NA,NA,13,NA,NA,NA,3500,1,NA,1892,6300,NA,NA,6,NA,NA,32,NA,2823,10115,440,14,29,NA,NA,NA,NA,NA,NA,NA,NA,1405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,159,NA,965,NA,3261,NA,3247,NA,163,NA,NA,NA,NA,NA,NA,111,5,287,1680,89,4,NA,NA,11,1,4,NA,1,NA,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
